Transaction_ID,Transaction_Amount_INR,Transaction_Type,Merchant_Category,Hour_of_Day,Day_of_Week,Is_New_Device,Is_New_Location,Distance_From_Home_KM,Account_Age_Days,Time_Since_Last_Transaction_Minutes,Is_Fraud
TXN-000027,1282.19,Card Payment,Others,6,4,1,1,12.67,586,1.68,1
TXN-000028,347.98,UPI,Utility Bills,16,6,0,0,25.62,1766,373.86,0
TXN-000029,3643.12,Card Payment,Entertainment,17,3,0,0,3.79,664,280.36,0
TXN-000030,452.74,UPI,Cash Withdrawal,14,6,0,0,2.96,2862,113.0,0
TXN-000031,957.49,NEFT,Entertainment,13,3,0,0,6.21,3100,172.23,0
TXN-000032,575.15,NEFT,Entertainment,13,0,0,0,4.87,1820,187.1,0
TXN-000033,4421.96,Card Payment,Electronics,20,6,0,0,4.93,450,431.83,0
TXN-000034,2582.24,UPI,Entertainment,21,2,0,0,4.62,3298,137.51,0
TXN-000035,204.96,UPI,Electronics,16,6,0,0,5.1,454,47.39,0
TXN-000036,3898.8,Card Payment,Grocery,20,0,0,0,11.74,87,40.42,0
TXN-000037,216.01,Card Payment,Electronics,18,0,1,0,35.76,2279,108.44,0
TXN-000038,6344.81,Card Payment,Electronics,23,2,0,0,7.89,3148,241.35,0
TXN-000039,2902.51,UPI,Electronics,14,1,0,0,3.5,3591,378.29,0
TXN-000040,1337.78,NEFT,Electronics,19,4,0,0,33.84,2319,81.9,0
TXN-000041,1003.47,NEFT,Grocery,10,0,0,0,1.16,2825,329.23,0
TXN-000042,2051.71,UPI,Electronics,16,2,0,0,17.98,2521,80.07,0
TXN-000043,1266.09,UPI,Utility Bills,18,2,0,0,16.44,2999,464.28,0
TXN-000044,1283.31,Card Payment,Electronics,12,3,0,0,0.1,379,69.45,0
TXN-000045,2291.72,Card Payment,Utility Bills,22,6,0,0,1.34,3421,46.75,0
TXN-000046,838.41,UPI,Travel,16,4,0,0,4.03,1994,213.02,0
TXN-000047,2320.33,UPI,Grocery,18,5,0,0,2.99,995,63.92,0
TXN-000048,583.58,Card Payment,Electronics,8,1,0,0,11.87,2681,30.02,0
TXN-000049,2242.62,UPI,Utility Bills,16,5,0,0,16.42,1219,324.49,0
TXN-000050,872.06,UPI,Cash Withdrawal,20,5,0,0,4.91,334,134.88,0
TXN-000051,2313.97,ATM Withdrawal,Others,10,0,0,0,0.68,3322,108.66,0
TXN-000052,1818.39,UPI,Travel,11,3,0,0,10.97,3580,9.21,0
TXN-000053,487.32,Card Payment,Entertainment,16,2,0,0,3.77,3011,157.03,0
TXN-000054,3034.23,UPI,Entertainment,13,2,0,0,13.81,2851,152.2,0
TXN-000055,1764.33,Wire Transfer,Utility Bills,13,4,0,0,13.76,2259,11.51,0
TXN-000056,1569.38,UPI,Grocery,12,6,0,0,19.09,1622,16.94,0
TXN-000057,3799.63,Card Payment,Electronics,20,6,0,0,1.96,1179,65.36,0
TXN-000058,2879.41,Card Payment,Grocery,20,2,0,0,5.78,3617,7.38,0
TXN-000059,526.5,Card Payment,Electronics,15,4,0,0,7.75,1713,206.52,0
TXN-000060,413.07,UPI,Entertainment,16,3,0,0,8.0,1578,459.38,0
TXN-000061,2180.64,Card Payment,Grocery,21,2,0,0,15.5,2601,23.53,0
TXN-000062,771.63,Card Payment,Utility Bills,16,2,0,0,3.81,1376,134.65,0
TXN-000063,1091.66,UPI,Grocery,16,4,0,0,3.17,1801,17.36,0
TXN-000064,4136.57,UPI,Utility Bills,16,4,0,0,10.79,301,42.65,0
TXN-000065,3601.96,UPI,Entertainment,20,2,1,1,17.08,428,237.61,0
TXN-000066,169.44,NEFT,Cash Withdrawal,8,4,0,0,2.98,3588,343.07,0
TXN-000067,6306.98,UPI,Utility Bills,20,0,0,0,1.84,93,57.43,0
TXN-000068,1741.62,UPI,Travel,19,3,0,0,5.57,226,46.69,0
TXN-000069,7767.17,Card Payment,Cash Withdrawal,15,4,0,0,1.07,3134,211.38,0
TXN-000070,1382.27,UPI,Travel,10,1,0,0,0.25,2834,23.36,0
TXN-000071,2600.79,Card Payment,Cash Withdrawal,19,6,0,0,8.1,520,104.31,0
TXN-000072,981.56,UPI,Grocery,8,3,0,0,0.59,2306,34.18,0
TXN-000073,724.2,ATM Withdrawal,Grocery,14,5,0,0,5.58,2534,18.29,0
TXN-000074,5590.41,UPI,Grocery,15,5,0,0,10.55,1624,221.0,0
TXN-000075,1409.29,Card Payment,Cash Withdrawal,20,3,0,0,4.75,3363,132.53,0
TXN-000076,206.19,NEFT,Travel,7,3,0,0,0.51,134,67.54,0
TXN-000077,1837.17,Card Payment,Utility Bills,15,2,0,0,7.08,3217,190.29,0
TXN-000078,29178.64,Card Payment,Entertainment,10,6,0,0,17.03,1195,321.29,0
TXN-000079,2079.95,UPI,Utility Bills,12,5,0,1,5.01,3259,455.06,0
TXN-000080,787.53,UPI,Entertainment,19,4,0,0,12.18,3530,70.88,0
TXN-000081,5295.75,UPI,Grocery,13,5,0,0,0.92,904,308.33,0
TXN-000082,1423.88,UPI,Entertainment,8,3,0,0,13.86,1514,135.05,0
TXN-000083,7164.53,UPI,Grocery,10,2,0,0,6.23,2190,65.47,0
TXN-000084,1503.18,Wire Transfer,Utility Bills,8,3,0,1,27.36,1893,214.78,0
TXN-000085,1146.05,ATM Withdrawal,Utility Bills,19,3,0,1,4.16,2974,113.46,0
TXN-000086,3095.8,NEFT,Grocery,8,5,0,0,23.82,1213,116.21,0
TXN-000087,1977.38,UPI,Entertainment,9,0,0,0,2.39,91,449.05,0
TXN-000088,1112.05,UPI,Utility Bills,22,0,0,0,13.45,954,12.16,0
TXN-000089,474.25,UPI,Utility Bills,14,0,0,0,21.36,3108,36.33,0
TXN-000090,3424.99,UPI,Electronics,19,6,0,0,8.51,1368,33.0,0
TXN-000091,1380.15,NEFT,Travel,19,6,0,0,8.1,2526,54.72,0
TXN-000092,1508.2,Card Payment,Entertainment,10,6,0,0,11.39,3504,14.06,0
TXN-000093,4854.19,Card Payment,Utility Bills,13,6,0,0,18.96,1012,12.13,0
TXN-000094,871.95,Card Payment,Cash Withdrawal,7,3,0,0,12.05,751,80.04,0
TXN-000095,22944.39,UPI,Travel,8,5,0,1,0.96,2192,165.7,0
TXN-000096,140.84,UPI,Utility Bills,16,6,0,0,27.79,1671,286.06,0
TXN-000097,2742.78,Card Payment,Electronics,13,3,0,0,5.95,1742,529.1,0
TXN-000098,1006.65,Card Payment,Grocery,17,3,0,0,14.46,443,409.58,0
TXN-000099,1015.77,NEFT,Utility Bills,8,2,0,0,2.81,1842,611.4,0
TXN-000100,5242.21,NEFT,Utility Bills,9,5,0,0,0.45,88,83.93,0
TXN-000101,662.38,Card Payment,Grocery,11,6,0,1,15.07,229,94.16,0
TXN-000102,1429.12,ATM Withdrawal,Cash Withdrawal,3,6,0,0,3.5,229,76.76,0
TXN-000103,2279.22,UPI,Entertainment,7,5,0,0,6.31,3304,94.5,0
TXN-000104,668.24,Card Payment,Travel,16,3,0,0,8.94,1537,296.52,0
TXN-000105,3739.62,Card Payment,Grocery,19,5,0,0,3.76,50,176.23,0
TXN-000106,4195.96,Card Payment,Grocery,19,5,0,0,1.51,1359,873.5,0
TXN-000107,753.52,Card Payment,Others,15,0,0,0,12.91,397,192.25,0
TXN-000108,2599.15,UPI,Utility Bills,18,0,0,0,5.4,1386,207.32,0
TXN-000109,3480.09,NEFT,Utility Bills,16,4,0,0,25.19,1619,73.78,0
TXN-000110,409.48,UPI,Grocery,13,6,0,0,5.98,3487,302.51,0
TXN-000111,1011.6,Card Payment,Travel,13,1,0,1,6.53,1074,110.14,0
TXN-000112,4395.06,UPI,Grocery,15,4,0,0,3.41,2196,138.72,0
TXN-000113,4181.24,UPI,Utility Bills,13,4,1,0,13.0,1700,72.84,0
TXN-000114,9168.64,UPI,Entertainment,9,0,0,0,11.99,767,29.88,0
TXN-000115,654.92,Card Payment,Entertainment,11,4,0,0,23.07,1232,50.08,0
TXN-000116,1993.86,UPI,Entertainment,11,4,0,0,5.41,3213,276.47,0
TXN-000117,9734.56,UPI,Grocery,14,0,0,0,31.4,1784,33.84,0
TXN-000118,8950.42,NEFT,Utility Bills,8,5,0,0,0.62,3045,356.19,0
TXN-000119,1753.24,UPI,Utility Bills,20,3,0,0,2.68,3631,7.57,0
TXN-000120,3626.86,UPI,Entertainment,17,2,0,0,17.19,3120,893.16,0
TXN-000121,1270.8,Card Payment,Grocery,18,5,0,0,33.43,2902,202.58,0
TXN-000122,2265.23,UPI,Cash Withdrawal,12,4,0,0,1.92,2269,163.05,0
TXN-000123,3221.43,ATM Withdrawal,Grocery,8,3,0,0,6.4,1818,884.6,0
TXN-000124,892.75,UPI,Grocery,12,6,0,0,7.52,2752,73.63,0
TXN-000125,421.67,UPI,Grocery,16,2,0,0,11.69,49,126.89,0
TXN-000126,2699.92,UPI,Grocery,16,5,0,0,0.3,2117,386.34,0
TXN-000127,1991.73,ATM Withdrawal,Entertainment,15,2,0,0,13.94,2313,103.94,0
TXN-000128,5373.81,UPI,Cash Withdrawal,18,4,1,0,0.08,1507,217.39,0
TXN-000129,1660.41,ATM Withdrawal,Entertainment,13,3,1,0,9.15,2932,273.23,0
TXN-000130,4015.26,UPI,Grocery,15,0,0,0,4.7,848,7.51,0
TXN-000131,1419.99,Card Payment,Entertainment,8,1,0,0,3.4,2099,3.85,0
TXN-000132,713.21,ATM Withdrawal,Utility Bills,12,3,0,1,13.06,2926,53.8,0
TXN-000133,779.3,UPI,Grocery,12,0,0,0,25.44,1850,40.64,0
TXN-000134,2035.41,ATM Withdrawal,Grocery,18,3,1,0,9.9,2047,401.43,0
TXN-000135,826.12,Card Payment,Utility Bills,18,0,1,0,0.5,3381,19.42,0
TXN-000136,4825.22,NEFT,Grocery,10,3,0,0,5.43,1705,63.08,0
TXN-000137,248.85,UPI,Electronics,18,0,0,0,3.11,1783,191.09,0
TXN-000138,1319.56,Card Payment,Utility Bills,19,0,0,0,23.05,3022,40.51,0
TXN-000139,10647.72,Card Payment,Jewelry,16,0,0,0,12.14,1242,62.9,0
TXN-000140,5878.71,UPI,Entertainment,22,2,0,0,3.54,1108,126.34,0
TXN-000141,4138.47,Card Payment,Grocery,7,5,0,0,1.47,458,44.94,0
TXN-000142,420.92,Card Payment,Travel,14,2,0,0,0.62,988,129.57,0
TXN-000143,2308.1,ATM Withdrawal,Cash Withdrawal,18,0,0,0,0.35,3609,109.21,0
TXN-000144,2072.31,Card Payment,Travel,8,1,0,0,4.37,3441,261.3,0
TXN-000145,322.54,Card Payment,Cash Withdrawal,12,4,0,0,5.55,2979,597.84,0
TXN-000146,3517.45,Card Payment,Cash Withdrawal,15,5,0,0,5.36,1386,34.33,0
TXN-000147,495.58,ATM Withdrawal,Grocery,16,2,0,0,0.08,635,195.52,0
TXN-000148,295.23,UPI,Grocery,13,4,0,0,12.32,3449,210.41,0
TXN-000149,1069.63,Card Payment,Electronics,15,3,0,0,11.52,3141,463.39,0
TXN-000150,14254.82,Card Payment,Cash Withdrawal,18,2,0,0,8.74,486,299.35,0
TXN-000151,418.23,ATM Withdrawal,Entertainment,7,0,0,0,14.68,3077,364.26,0
TXN-000152,1399.49,UPI,Grocery,14,1,0,0,10.19,461,135.68,0
TXN-000153,5534.05,UPI,Electronics,21,1,0,0,6.21,48,206.83,0
TXN-000154,3036.24,UPI,Utility Bills,7,5,0,0,3.3,3187,92.67,0
TXN-000155,405.55,UPI,Utility Bills,14,3,0,0,2.45,2865,351.11,0
TXN-000156,2829.88,UPI,Others,20,5,0,0,4.05,730,245.68,0
TXN-000157,1727.67,Card Payment,Grocery,15,5,0,0,13.26,1313,173.38,0
TXN-000158,1752.6,UPI,Cash Withdrawal,13,5,0,0,3.71,3253,385.9,0
TXN-000159,269.42,Card Payment,Grocery,19,6,0,0,1.35,996,10.21,0
TXN-000160,2195.64,Card Payment,Electronics,17,3,0,1,5.85,3631,137.31,0
TXN-000161,5396.36,UPI,Utility Bills,8,1,0,0,41.13,144,189.16,0
TXN-000162,1160.75,UPI,Grocery,13,2,0,0,7.36,740,454.92,0
TXN-000163,1525.41,UPI,Grocery,10,6,0,0,6.83,2853,277.92,0
TXN-000164,504.21,Card Payment,Electronics,9,6,0,0,11.59,2493,404.22,0
TXN-000165,1170.04,Card Payment,Utility Bills,8,2,0,0,0.02,1662,14.85,0
TXN-000166,398.02,Card Payment,Utility Bills,17,3,0,0,3.28,2188,167.97,0
TXN-000167,59745.61,UPI,Travel,16,5,0,0,5.07,1688,472.11,0
TXN-000168,294.04,UPI,Entertainment,19,4,0,0,6.83,1027,68.36,0
TXN-000169,1030.7,Card Payment,Grocery,14,4,0,0,3.66,2550,87.27,0
TXN-000170,952.81,NEFT,Entertainment,19,6,0,0,5.22,1780,95.79,0
TXN-000171,14448.09,Card Payment,Cash Withdrawal,18,1,0,0,10.69,688,351.39,0
TXN-000172,3703.09,ATM Withdrawal,Cash Withdrawal,18,4,1,0,4.67,118,53.22,0
TXN-000173,4327.23,ATM Withdrawal,Grocery,12,6,0,0,6.62,1914,92.98,0
TXN-000174,1382.15,UPI,Grocery,17,1,0,0,1.52,59,56.7,0
TXN-000175,781.68,UPI,Grocery,10,5,0,0,6.9,556,282.84,0
TXN-000176,9345.33,Card Payment,Travel,12,2,0,0,22.14,1163,194.66,0
TXN-000177,1745.18,Card Payment,Travel,13,2,1,1,2.69,511,0.44,1
TXN-000178,1658.7,UPI,Cash Withdrawal,10,1,0,0,0.69,2535,37.77,0
TXN-000179,1050.67,ATM Withdrawal,Grocery,18,4,1,0,7.58,1483,455.91,0
TXN-000180,226.01,NEFT,Utility Bills,9,5,0,0,4.22,2090,141.19,0
TXN-000181,5770.14,UPI,Grocery,0,3,0,0,26.88,1113,80.82,0
TXN-000182,3961.4,Card Payment,Grocery,11,2,0,0,9.78,602,35.01,0
TXN-000183,1642.86,NEFT,Grocery,12,3,0,0,15.27,2044,165.97,0
TXN-000184,10852.14,ATM Withdrawal,Electronics,23,1,0,0,2.25,2052,93.23,0
TXN-000185,503.66,Wire Transfer,Grocery,14,3,0,0,5.78,2959,295.43,0
TXN-000186,2480.07,UPI,Cash Withdrawal,0,2,0,0,5.98,1080,380.94,0
TXN-000187,416.01,NEFT,Cash Withdrawal,17,0,0,0,28.17,3233,180.07,0
TXN-000188,2261.98,UPI,Entertainment,18,2,0,0,11.06,2124,179.82,0
TXN-000189,6131.35,UPI,Entertainment,14,1,0,0,11.37,2559,51.51,0
TXN-000190,9129.04,UPI,Grocery,7,5,0,1,9.15,1217,31.1,0
TXN-000191,2395.86,NEFT,Grocery,8,6,0,0,0.65,1294,192.36,0
TXN-000192,2953.53,UPI,Travel,17,0,0,0,5.49,2388,181.26,0
TXN-000193,957.87,NEFT,Entertainment,20,0,0,0,7.04,454,225.41,0
TXN-000194,1508.52,Card Payment,Electronics,12,6,0,0,6.52,3447,244.73,0
TXN-000195,227.21,UPI,Grocery,12,2,0,0,3.53,3047,291.91,0
TXN-000196,2290.69,UPI,Utility Bills,10,0,0,0,12.72,702,105.57,0
TXN-000197,50320.09,Card Payment,Utility Bills,20,1,0,0,1.62,3152,540.07,0
TXN-000198,3317.76,Card Payment,Electronics,12,4,0,0,10.38,322,341.17,0
TXN-000199,569.53,NEFT,Entertainment,15,0,0,0,3.9,1201,80.57,0
TXN-000200,3765.93,ATM Withdrawal,Travel,8,3,0,0,1.91,2055,189.79,0
TXN-000201,1730.67,Card Payment,Electronics,14,0,0,0,7.3,3044,4.98,0
TXN-000202,1179.1,Card Payment,Electronics,2,0,0,0,4.4,1110,70.74,0
TXN-000203,525.02,UPI,Entertainment,13,4,0,0,6.75,2833,75.77,0
TXN-000204,2850.28,UPI,Travel,20,3,0,0,22.39,315,271.62,0
TXN-000205,953.89,Card Payment,Cash Withdrawal,4,6,0,0,10.46,261,9.03,0
TXN-000206,3338.69,UPI,Entertainment,10,3,0,0,18.82,1195,279.27,0
TXN-000207,1735.63,Card Payment,Cash Withdrawal,9,5,1,0,2.33,2287,125.83,0
TXN-000208,901.78,ATM Withdrawal,Grocery,6,6,0,0,11.5,914,594.58,0
TXN-000209,774.39,Card Payment,Grocery,18,6,0,0,0.92,3169,267.07,0
TXN-000210,1009.91,Card Payment,Cash Withdrawal,21,3,0,0,5.99,417,10.88,0
TXN-000211,8526.18,Card Payment,Entertainment,21,1,0,0,8.59,2644,264.51,0
TXN-000212,1526.24,UPI,Travel,12,4,0,0,9.62,1389,548.06,0
TXN-000213,8534.22,UPI,Entertainment,6,1,0,0,3.76,2203,68.59,0
TXN-000214,1891.88,Card Payment,Jewelry,8,5,0,0,11.62,2062,65.21,0
TXN-000215,7548.85,UPI,Utility Bills,6,2,0,0,19.97,2722,89.53,0
TXN-000216,5369.78,Card Payment,Others,18,2,0,0,0.29,2425,71.75,0
TXN-000217,4364.66,Card Payment,Entertainment,19,4,0,0,0.98,1359,4.85,0
TXN-000218,816.02,Card Payment,Entertainment,13,1,0,0,9.08,1757,718.28,0
TXN-000219,2973.72,NEFT,Electronics,18,3,0,0,3.23,1204,568.66,0
TXN-000220,4392.74,ATM Withdrawal,Electronics,19,6,0,0,9.53,3546,115.41,0
TXN-000221,5706.49,UPI,Others,15,2,0,1,10.19,1242,111.28,0
TXN-000222,200.0,NEFT,Entertainment,17,6,0,0,13.77,2383,107.78,0
TXN-000223,151.31,UPI,Entertainment,14,2,0,0,35.15,1068,208.67,0
TXN-000224,9836.32,Card Payment,Electronics,16,5,0,0,20.52,2469,214.31,0
TXN-000225,4970.89,NEFT,Travel,3,1,0,0,4.46,1598,51.96,0
TXN-000226,1577.84,Card Payment,Utility Bills,16,6,0,0,6.26,3199,26.31,0
TXN-000227,1720.46,UPI,Travel,14,4,0,0,4.29,2882,77.69,0
TXN-000228,1939.67,Card Payment,Utility Bills,14,0,1,0,2.45,595,87.05,0
TXN-000229,4688.41,UPI,Travel,8,0,0,0,1.4,514,44.57,0
TXN-000230,2340.48,UPI,Entertainment,17,2,0,0,5.1,1372,16.85,0
TXN-000231,241.16,Card Payment,Electronics,14,0,0,0,2.39,1242,714.27,0
TXN-000232,390.48,NEFT,Grocery,12,4,0,0,2.6,485,88.98,0
TXN-000233,3409.7,NEFT,Electronics,3,5,0,0,11.27,2722,57.15,0
TXN-000234,1322.4,NEFT,Travel,21,0,0,0,15.29,965,441.15,0
TXN-000235,2867.28,NEFT,Utility Bills,9,2,0,0,5.44,83,339.71,0
TXN-000236,102.16,NEFT,Entertainment,23,4,0,0,41.47,163,55.92,0
TXN-000237,1276.65,Card Payment,Grocery,11,0,0,0,0.05,2333,646.26,0
TXN-000238,1368.25,Card Payment,Travel,9,2,0,0,0.73,3489,149.16,0
TXN-000239,2838.21,Card Payment,Electronics,13,3,0,0,6.85,2032,54.85,0
TXN-000240,11521.21,Card Payment,Travel,8,5,0,0,3.25,2149,13.16,0
TXN-000241,1941.13,Card Payment,Jewelry,20,2,0,0,6.58,2712,931.55,0
TXN-000242,3365.11,ATM Withdrawal,Entertainment,16,4,0,0,8.42,1616,38.93,0
TXN-000243,1874.43,UPI,Utility Bills,11,3,0,0,1.95,2202,44.59,0
TXN-000244,1465.88,UPI,Entertainment,7,3,0,0,6.31,426,218.21,0
TXN-000245,13627.55,UPI,Grocery,8,5,0,0,9.6,3532,338.5,0
TXN-000246,360.39,NEFT,Grocery,18,6,0,0,9.45,2859,264.54,0
TXN-000247,266.52,UPI,Cash Withdrawal,7,5,0,0,2.09,1449,27.72,0
TXN-000248,3966.05,UPI,Utility Bills,18,1,0,0,9.24,1672,173.43,0
TXN-000249,2356.69,UPI,Entertainment,10,2,0,0,8.07,99,127.66,0
TXN-000250,721.32,NEFT,Entertainment,19,2,0,0,1.45,722,389.97,0
TXN-000251,3636.1,Card Payment,Entertainment,10,4,0,0,9.11,2645,89.23,0
TXN-000252,7634.85,UPI,Entertainment,8,4,0,0,5.91,1641,10.74,0
TXN-000253,736.17,Card Payment,Grocery,0,1,0,0,4.71,84,174.35,0
TXN-000254,913.63,Wire Transfer,Entertainment,7,3,0,0,0.84,1756,134.43,0
TXN-000255,282.84,ATM Withdrawal,Utility Bills,14,5,0,0,1.08,2576,75.31,0
TXN-000256,1026.53,NEFT,Grocery,5,4,0,0,13.27,1349,163.5,0
TXN-000257,1068.6,UPI,Grocery,13,1,0,0,19.52,320,20.32,0
TXN-000258,717.54,NEFT,Utility Bills,9,4,0,1,13.89,2503,285.91,0
TXN-000259,13039.05,Card Payment,Cash Withdrawal,18,4,0,0,8.07,656,204.93,0
TXN-000260,2976.16,NEFT,Travel,11,5,0,0,13.9,1393,12.06,0
TXN-000261,3429.04,Card Payment,Others,9,2,0,0,7.6,497,114.84,0
TXN-000262,3121.21,ATM Withdrawal,Electronics,8,2,0,0,10.23,1363,4.64,0
TXN-000263,2463.38,UPI,Electronics,18,3,0,1,2.56,2554,213.75,0
TXN-000264,1201.24,ATM Withdrawal,Entertainment,13,4,0,0,5.35,2330,392.77,0
TXN-000265,2423.2,UPI,Grocery,17,1,0,0,12.14,2046,20.88,0
TXN-000266,5407.45,UPI,Grocery,11,0,0,0,17.98,577,125.04,0
TXN-000267,2517.64,NEFT,Entertainment,10,4,0,0,0.62,1601,630.45,0
TXN-000268,4415.65,NEFT,Electronics,20,1,0,0,12.92,2755,48.97,0
TXN-000269,368.03,UPI,Utility Bills,21,0,0,0,7.97,2722,133.0,0
TXN-000270,3984.56,UPI,Grocery,17,4,0,1,7.28,1638,509.2,0
TXN-000271,18891.2,NEFT,Jewelry,9,2,1,1,2077.93,1839,123.8,1
TXN-000272,2782.95,Card Payment,Travel,17,2,0,0,0.37,1393,46.29,0
TXN-000273,3097.41,UPI,Entertainment,20,1,0,0,1.17,1477,31.17,0
TXN-000274,1980.27,NEFT,Grocery,13,3,0,0,17.76,448,11.34,0
TXN-000275,934.48,Card Payment,Cash Withdrawal,10,1,0,1,3.14,297,12.27,0
TXN-000276,15025.65,UPI,Utility Bills,11,0,0,0,5.95,2947,138.85,0
TXN-000277,5011.76,UPI,Electronics,20,0,1,0,1.42,3217,40.01,0
TXN-000278,17759.55,UPI,Utility Bills,17,5,0,0,5.89,3276,275.2,0
TXN-000279,1547.06,UPI,Grocery,18,1,0,0,17.99,2044,7.87,0
TXN-000280,1138.47,Card Payment,Grocery,9,4,0,0,15.68,3608,127.77,0
TXN-000281,3326.79,NEFT,Utility Bills,13,3,0,0,9.84,2750,350.44,0
TXN-000282,2632.56,UPI,Entertainment,17,3,0,0,0.94,3163,674.14,0
TXN-000283,1481.27,UPI,Entertainment,11,4,0,0,16.11,3618,63.3,0
TXN-000284,2837.88,Card Payment,Entertainment,17,6,0,0,8.38,767,121.46,0
TXN-000285,8200.24,UPI,Utility Bills,17,2,0,0,6.62,1320,34.48,0
TXN-000286,464.85,UPI,Utility Bills,12,6,0,0,7.6,3298,142.28,0
TXN-000287,1394.27,UPI,Grocery,8,0,0,0,0.48,1787,8.86,0
TXN-000288,1705.0,Card Payment,Cash Withdrawal,12,3,0,0,7.69,2440,513.87,0
TXN-000289,2097.78,Card Payment,Grocery,16,2,1,0,0.09,2643,242.12,0
TXN-000290,1005.46,UPI,Grocery,13,1,0,0,10.36,1741,144.4,0
TXN-000291,1155.5,Card Payment,Entertainment,15,5,0,0,10.6,3523,275.79,0
TXN-000292,2778.04,NEFT,Utility Bills,9,4,0,0,4.42,2999,255.5,0
TXN-000293,1889.91,UPI,Grocery,12,1,0,0,9.66,2778,98.93,0
TXN-000294,11975.45,ATM Withdrawal,Cash Withdrawal,11,6,0,0,11.64,2639,11.24,0
TXN-000295,1179.48,Card Payment,Grocery,14,6,0,0,4.25,314,142.66,0
TXN-000296,750.49,UPI,Grocery,8,1,0,0,4.39,1409,89.28,0
TXN-000297,869.95,UPI,Others,5,0,0,0,4.28,306,31.52,0
TXN-000298,499.95,UPI,Entertainment,8,2,0,0,2.59,931,228.28,0
TXN-000299,324.63,NEFT,Cash Withdrawal,18,3,0,0,0.72,284,337.07,0
TXN-000300,1423.03,Card Payment,Grocery,17,3,1,0,1.2,299,199.73,0
TXN-000301,3783.3,Card Payment,Cash Withdrawal,14,0,0,0,1.81,2992,179.25,0
TXN-000302,5329.5,Card Payment,Jewelry,18,0,0,0,9.62,673,12.91,0
TXN-000303,1567.58,Card Payment,Grocery,18,3,0,0,10.89,2029,167.71,0
TXN-000304,738.98,UPI,Electronics,16,4,0,0,11.0,774,204.84,0
TXN-000305,13478.22,UPI,Utility Bills,11,3,0,0,6.27,2580,244.38,0
TXN-000306,2274.54,UPI,Grocery,18,2,0,0,4.75,3084,71.99,0
TXN-000307,346.28,ATM Withdrawal,Electronics,14,0,0,0,11.84,2668,231.65,0
TXN-000308,2326.46,UPI,Electronics,16,0,0,0,0.36,2702,72.47,0
TXN-000309,1304.76,UPI,Grocery,12,3,0,0,1.89,2052,1227.12,0
TXN-000310,1781.1,NEFT,Others,10,5,0,0,18.47,1412,65.45,0
TXN-000311,916.11,UPI,Others,19,3,0,0,6.34,244,380.75,0
TXN-000312,556.69,UPI,Grocery,8,1,0,0,1.81,1803,80.13,0
TXN-000313,2949.63,UPI,Others,15,3,1,0,6.31,1011,420.22,0
TXN-000314,1558.34,UPI,Entertainment,19,3,0,0,1.64,711,49.89,0
