User_ID,Age,Annual_Income_INR,Current_Savings_INR,Monthly_Disposable_Income_INR,Tax_Bracket,Financial_Goal,Risk_Appetite_Score,Investment_Horizon_Months,Recommended_Asset_Class,Historical_Portfolio_ROI
SWT-00025,50,2954000.0,19968000.0,127700.0,30%,Tax Saving,5,68,Mutual Funds,10.05
SWT-00026,48,3665000.0,18552000.0,173900.0,30%,Wealth Creation,8,66,Mutual Funds,9.77
SWT-00027,28,1183000.0,1279000.0,35400.0,5%,Short-term Gain,7,99,Mutual Funds,-0.2
SWT-00028,53,2319000.0,7671000.0,78400.0,30%,Retirement,6,62,Gold,8.32
SWT-00029,41,3212000.0,5134000.0,137900.0,30%,Tax Saving,8,74,Mutual Funds,8.56
SWT-00030,64,862000.0,3930000.0,22800.0,5%,Retirement,3,36,Bonds,3.62
SWT-00031,38,2031000.0,1910000.0,73800.0,30%,Wealth Creation,7,70,Mutual Funds,9.67
SWT-00032,60,3420000.0,15514000.0,164500.0,30%,Tax Saving,4,59,Mutual Funds,9.92
SWT-00033,34,3601000.0,8355000.0,167100.0,30%,Wealth Creation,9,78,Mutual Funds,19.07
SWT-00034,26,2455000.0,1186000.0,83500.0,30%,Retirement,9,96,Equity/Stocks,8.45
SWT-00035,56,3464000.0,17281000.0,156800.0,30%,Retirement,6,63,Gold,10.16
SWT-00036,25,2273000.0,539000.0,100600.0,30%,Retirement,8,116,Mutual Funds,19.22
SWT-00037,29,2805000.0,2663000.0,128000.0,30%,Retirement,9,96,Equity/Stocks,7.45
SWT-00038,59,2223000.0,13775000.0,61400.0,30%,Short-term Gain,7,57,Gold,7.83
SWT-00039,41,2967000.0,8018000.0,123600.0,30%,Retirement,8,84,Mutual Funds,21.15
SWT-00040,47,2360000.0,5390000.0,94400.0,30%,Wealth Creation,9,54,Mutual Funds,12.86
SWT-00041,53,4107000.0,14569000.0,199700.0,30%,Short-term Gain,7,51,Mutual Funds,13.45
SWT-00042,53,4460000.0,19597000.0,222500.0,30%,Wealth Creation,7,61,Gold,6.58
SWT-00043,40,4410000.0,16993000.0,222100.0,30%,Tax Saving,9,77,Mutual Funds,15.58
SWT-00044,23,1765000.0,206000.0,61000.0,30%,Retirement,10,86,Mutual Funds,11.25
SWT-00045,32,1851000.0,1485000.0,56600.0,30%,Retirement,9,103,Equity/Stocks,-6.06
SWT-00046,35,4000000.0,4167000.0,212900.0,30%,Short-term Gain,10,97,Equity/Stocks,10.27
SWT-00047,58,2990000.0,17702000.0,123800.0,30%,Retirement,5,56,Bonds,4.08
SWT-00048,60,2671000.0,9781000.0,97300.0,30%,Retirement,6,47,Gold,8.36
SWT-00049,28,1871000.0,1526000.0,69000.0,30%,Retirement,10,101,Equity/Stocks,3.59
SWT-00050,40,3250000.0,6741000.0,123600.0,30%,Tax Saving,8,88,Mutual Funds,14.17
SWT-00051,65,1499000.0,4338000.0,44800.0,20%,Short-term Gain,4,40,Bonds,5.55
SWT-00052,42,3524000.0,11805000.0,152400.0,30%,Tax Saving,6,78,Mutual Funds,5.43
SWT-00053,51,4366000.0,25000000.0,261600.0,30%,Retirement,4,48,Gold,6.64
SWT-00054,50,4780000.0,25000000.0,244100.0,30%,Retirement,9,77,Mutual Funds,15.19
SWT-00055,49,3586000.0,16319000.0,135700.0,30%,Tax Saving,7,83,Mutual Funds,17.49
SWT-00056,39,1805000.0,3644000.0,57400.0,30%,Wealth Creation,7,94,Mutual Funds,6.79
SWT-00057,28,2441000.0,990000.0,95600.0,30%,Retirement,9,113,Mutual Funds,4.98
SWT-00058,48,5705000.0,21030000.0,328400.0,30%,Tax Saving,6,70,Mutual Funds,20.98
SWT-00059,53,2076000.0,3027000.0,86500.0,30%,Short-term Gain,6,63,Gold,7.97
SWT-00060,27,2193000.0,2349000.0,88000.0,30%,Short-term Gain,8,89,Equity/Stocks,15.46
SWT-00061,66,3247000.0,25000000.0,143000.0,30%,Tax Saving,4,21,Bonds,4.68
SWT-00062,21,2321000.0,10000.0,79600.0,30%,Short-term Gain,7,80,Mutual Funds,12.62
SWT-00063,22,4328000.0,10000.0,248900.0,30%,Retirement,8,97,Mutual Funds,21.07
SWT-00064,28,1813000.0,663000.0,58800.0,30%,Tax Saving,10,99,Mutual Funds,13.1
SWT-00065,37,1997000.0,3073000.0,65600.0,30%,Retirement,7,98,Mutual Funds,17.06
SWT-00066,43,4275000.0,25000000.0,208800.0,30%,Retirement,8,95,Mutual Funds,11.66
SWT-00067,41,1950000.0,4240000.0,60300.0,30%,Wealth Creation,9,76,Mutual Funds,5.41
SWT-00068,44,2721000.0,6559000.0,104100.0,30%,Wealth Creation,8,88,Equity/Stocks,7.3
SWT-00069,36,2645000.0,2624000.0,101800.0,30%,Wealth Creation,8,80,Mutual Funds,5.26
SWT-00070,62,3193000.0,25000000.0,145300.0,30%,Retirement,6,62,Gold,8.71
SWT-00071,36,3288000.0,6798000.0,139100.0,30%,Retirement,8,95,Equity/Stocks,27.4
SWT-00072,40,3283000.0,4831000.0,128700.0,30%,Retirement,9,100,Equity/Stocks,16.31
SWT-00073,29,2065000.0,1181000.0,63300.0,30%,Retirement,10,93,Equity/Stocks,10.84
SWT-00074,42,4244000.0,9845000.0,217100.0,30%,Retirement,9,96,Mutual Funds,6.81
SWT-00075,57,6500000.0,25000000.0,354100.0,30%,Tax Saving,4,29,Bonds,5.89
SWT-00076,63,2788000.0,16670000.0,107100.0,30%,Retirement,5,65,Bonds,4.01
SWT-00077,50,2928000.0,9626000.0,116000.0,30%,Retirement,7,68,Gold,4.05
SWT-00078,45,1914000.0,6249000.0,67300.0,30%,Wealth Creation,8,77,Mutual Funds,16.52
SWT-00079,39,2290000.0,4801000.0,93500.0,30%,Wealth Creation,6,51,Gold,7.1
SWT-00080,51,2623000.0,14390000.0,96000.0,30%,Retirement,5,56,Bonds,5.14
SWT-00081,36,2277000.0,3364000.0,84000.0,30%,Wealth Creation,10,109,Equity/Stocks,12.49
SWT-00082,49,2844000.0,25000000.0,124300.0,30%,Wealth Creation,6,61,Gold,10.35
SWT-00083,44,5118000.0,19300000.0,260000.0,30%,Retirement,6,79,Gold,8.54
SWT-00084,47,4307000.0,14392000.0,218300.0,30%,Retirement,6,68,Mutual Funds,7.89
SWT-00085,58,2388000.0,7386000.0,89100.0,30%,Retirement,7,74,Mutual Funds,7.81
SWT-00086,28,1557000.0,841000.0,44100.0,30%,Wealth Creation,7,92,Mutual Funds,10.48
SWT-00087,46,4445000.0,10969000.0,232900.0,30%,Tax Saving,8,65,Mutual Funds,13.19
SWT-00088,42,2832000.0,8603000.0,115000.0,30%,Retirement,7,77,Gold,7.88
SWT-00089,49,1645000.0,2273000.0,55400.0,30%,Tax Saving,5,82,Mutual Funds,10.94
SWT-00090,48,3613000.0,16059000.0,150200.0,30%,Retirement,9,84,Equity/Stocks,15.02
SWT-00091,47,4012000.0,10881000.0,195500.0,30%,Tax Saving,8,74,Mutual Funds,11.3
SWT-00092,57,1179000.0,3071000.0,38000.0,5%,Tax Saving,5,82,Mutual Funds,7.99
SWT-00093,62,1760000.0,8987000.0,67800.0,30%,Retirement,5,64,Bonds,6.83
SWT-00094,40,2738000.0,14798000.0,120300.0,30%,Retirement,10,99,Mutual Funds,8.46
SWT-00095,34,3304000.0,4128000.0,131000.0,30%,Retirement,9,95,Mutual Funds,12.27
SWT-00096,25,1799000.0,535000.0,62100.0,30%,Wealth Creation,10,112,Equity/Stocks,-10.02
SWT-00097,64,1669000.0,5466000.0,52000.0,30%,Retirement,5,57,Bonds,5.24
SWT-00098,31,3103000.0,2997000.0,134500.0,30%,Wealth Creation,9,68,Mutual Funds,4.97
SWT-00099,39,2418000.0,3969000.0,85400.0,30%,Retirement,8,87,Gold,4.36
SWT-00100,42,3422000.0,14205000.0,131700.0,30%,Wealth Creation,7,74,Mutual Funds,24.14
SWT-00101,34,1830000.0,1953000.0,59700.0,30%,Tax Saving,8,82,Mutual Funds,12.89
SWT-00102,41,1855000.0,8233000.0,66200.0,30%,Wealth Creation,7,75,Mutual Funds,17.9
SWT-00103,62,2919000.0,18873000.0,122700.0,30%,Retirement,6,35,Bonds,6.61
SWT-00104,20,2010000.0,10000.0,72200.0,30%,Wealth Creation,8,79,Mutual Funds,16.99
SWT-00105,35,3571000.0,6542000.0,165800.0,30%,Retirement,9,105,Equity/Stocks,12.27
SWT-00106,35,2242000.0,2608000.0,84300.0,30%,Tax Saving,9,96,Mutual Funds,21.04
SWT-00107,49,2217000.0,9320000.0,83700.0,30%,Short-term Gain,7,41,Gold,10.95
SWT-00108,29,3630000.0,2321000.0,163500.0,30%,Retirement,9,89,Mutual Funds,11.75
SWT-00109,36,1659000.0,1455000.0,54000.0,30%,Wealth Creation,8,96,Mutual Funds,12.97
SWT-00110,34,3899000.0,6487000.0,212900.0,30%,Retirement,8,84,Equity/Stocks,13.06
SWT-00111,43,4409000.0,21939000.0,229400.0,30%,Wealth Creation,8,94,Mutual Funds,11.79
SWT-00112,38,3657000.0,14679000.0,169600.0,30%,Short-term Gain,9,100,Mutual Funds,11.24
SWT-00113,32,2016000.0,3640000.0,70800.0,30%,Tax Saving,8,73,Mutual Funds,13.63
SWT-00114,54,2080000.0,9083000.0,72100.0,30%,Wealth Creation,6,60,Gold,13.64
SWT-00115,58,2349000.0,10007000.0,84200.0,30%,Tax Saving,6,52,Mutual Funds,5.64
SWT-00116,50,1874000.0,7408000.0,64500.0,30%,Tax Saving,6,48,Bonds,6.98
SWT-00117,62,1685000.0,4559000.0,52600.0,30%,Tax Saving,7,40,Mutual Funds,9.58
SWT-00118,33,3151000.0,2672000.0,133000.0,30%,Tax Saving,9,82,Mutual Funds,19.04
SWT-00119,50,3491000.0,17962000.0,147400.0,30%,Retirement,7,61,Gold,6.84
SWT-00120,35,1900000.0,1871000.0,65200.0,30%,Retirement,7,86,Equity/Stocks,18.57
SWT-00121,52,3448000.0,15809000.0,161600.0,30%,Retirement,8,83,Mutual Funds,10.61
SWT-00122,44,3351000.0,11786000.0,145300.0,30%,Tax Saving,7,81,Mutual Funds,2.47
SWT-00123,50,4598000.0,25000000.0,203600.0,30%,Tax Saving,6,74,Mutual Funds,19.95
SWT-00124,30,2885000.0,4444000.0,123500.0,30%,Tax Saving,10,95,Mutual Funds,5.56
SWT-00125,55,3730000.0,25000000.0,176000.0,30%,Wealth Creation,7,71,Mutual Funds,11.94
SWT-00126,59,2864000.0,15658000.0,107400.0,30%,Retirement,3,44,Bonds,4.44
SWT-00127,21,2606000.0,10000.0,107700.0,30%,Tax Saving,10,102,Mutual Funds,3.08
SWT-00128,24,1368000.0,259000.0,36900.0,20%,Retirement,8,120,Equity/Stocks,12.34
SWT-00129,53,2636000.0,8678000.0,111800.0,30%,Short-term Gain,6,34,Gold,6.08
SWT-00130,37,2707000.0,5045000.0,106800.0,30%,Tax Saving,8,62,Mutual Funds,4.98
SWT-00131,42,2661000.0,17515000.0,85600.0,30%,Tax Saving,6,77,Mutual Funds,11.33
SWT-00132,26,2511000.0,1359000.0,97500.0,30%,Retirement,6,85,Gold,3.2
SWT-00133,44,3550000.0,14590000.0,156200.0,30%,Wealth Creation,6,54,Gold,8.41
SWT-00134,49,3241000.0,10245000.0,134200.0,30%,Tax Saving,7,57,Mutual Funds,10.84
SWT-00135,55,2512000.0,15039000.0,90500.0,30%,Retirement,3,39,Bonds,3.0
SWT-00136,64,1721000.0,9629000.0,55800.0,30%,Retirement,4,55,Gold,6.56
SWT-00137,25,3014000.0,1688000.0,121000.0,30%,Short-term Gain,7,107,Mutual Funds,13.95
SWT-00138,38,3106000.0,7802000.0,112100.0,30%,Short-term Gain,8,103,Mutual Funds,5.57
SWT-00139,46,2091000.0,8196000.0,81400.0,30%,Wealth Creation,10,64,Mutual Funds,14.72
SWT-00140,46,2723000.0,13624000.0,106100.0,30%,Wealth Creation,7,56,Gold,9.51
SWT-00141,47,1654000.0,4565000.0,50300.0,30%,Tax Saving,7,54,Bonds,4.08
SWT-00142,38,2809000.0,5884000.0,103100.0,30%,Retirement,9,103,Mutual Funds,11.43
SWT-00143,36,2535000.0,6197000.0,103400.0,30%,Retirement,8,91,Equity/Stocks,23.2
SWT-00144,37,2281000.0,2984000.0,75000.0,30%,Retirement,8,86,Mutual Funds,6.61
SWT-00145,26,3617000.0,1819000.0,168000.0,30%,Tax Saving,10,105,Mutual Funds,10.2
SWT-00146,35,1836000.0,2476000.0,58800.0,30%,Retirement,9,89,Equity/Stocks,27.41
SWT-00147,43,3622000.0,6692000.0,159600.0,30%,Wealth Creation,8,65,Mutual Funds,6.71
SWT-00148,60,4840000.0,25000000.0,239000.0,30%,Retirement,6,62,Mutual Funds,13.73
SWT-00149,57,3618000.0,14619000.0,158000.0,30%,Wealth Creation,6,56,Gold,4.5
SWT-00150,61,2325000.0,9308000.0,86000.0,30%,Retirement,7,44,Gold,7.44
SWT-00151,33,1783000.0,1894000.0,60300.0,30%,Tax Saving,8,95,Mutual Funds,13.99
SWT-00152,41,1849000.0,3779000.0,58300.0,30%,Wealth Creation,9,79,Mutual Funds,-2.78
SWT-00153,59,2155000.0,8182000.0,76600.0,30%,Retirement,5,56,Gold,6.4
SWT-00154,65,1703000.0,7261000.0,59600.0,30%,Retirement,7,53,Gold,9.49
SWT-00155,45,2304000.0,6249000.0,73600.0,30%,Retirement,8,88,Mutual Funds,12.76
SWT-00156,30,2166000.0,1720000.0,77700.0,30%,Wealth Creation,8,94,Equity/Stocks,8.99
SWT-00157,40,2745000.0,5061000.0,101200.0,30%,Tax Saving,8,71,Mutual Funds,5.34
SWT-00158,41,3339000.0,14167000.0,134600.0,30%,Retirement,7,81,Mutual Funds,14.78
SWT-00159,49,1924000.0,2698000.0,67200.0,30%,Tax Saving,7,74,Mutual Funds,9.82
SWT-00160,60,1933000.0,7433000.0,63300.0,30%,Retirement,5,58,Bonds,6.15
SWT-00161,41,2716000.0,5840000.0,97300.0,30%,Retirement,8,93,Mutual Funds,13.62
SWT-00162,62,2153000.0,11534000.0,85200.0,30%,Tax Saving,7,50,Bonds,4.88
SWT-00163,61,4227000.0,17921000.0,227800.0,30%,Retirement,6,63,Gold,11.48
SWT-00164,61,2530000.0,10563000.0,82100.0,30%,Retirement,5,30,Bonds,4.79
SWT-00165,32,1499000.0,1376000.0,41300.0,20%,Retirement,6,81,Gold,11.86
SWT-00166,52,3175000.0,20472000.0,142600.0,30%,Retirement,7,63,Gold,12.6
SWT-00167,27,2661000.0,1967000.0,102200.0,30%,Retirement,10,119,Equity/Stocks,27.0
SWT-00168,31,2362000.0,1717000.0,98500.0,30%,Short-term Gain,8,89,Equity/Stocks,12.6
SWT-00169,59,1668000.0,5226000.0,56700.0,30%,Wealth Creation,8,71,Mutual Funds,25.71
SWT-00170,32,4409000.0,11217000.0,232300.0,30%,Tax Saving,10,75,Mutual Funds,12.46
SWT-00171,30,1707000.0,912000.0,51200.0,30%,Retirement,8,87,Mutual Funds,12.85
SWT-00172,58,3104000.0,15823000.0,136700.0,30%,Wealth Creation,5,44,Gold,7.93
SWT-00173,40,3024000.0,7761000.0,113600.0,30%,Retirement,8,111,Mutual Funds,5.2
SWT-00174,32,3045000.0,3823000.0,141200.0,30%,Tax Saving,8,81,Mutual Funds,18.73
SWT-00175,35,4590000.0,25000000.0,250100.0,30%,Retirement,10,94,Equity/Stocks,7.69
SWT-00176,59,2943000.0,13241000.0,113400.0,30%,Retirement,7,61,Mutual Funds,16.3
SWT-00177,24,1728000.0,414000.0,60400.0,30%,Tax Saving,9,82,Mutual Funds,18.39
SWT-00178,62,3265000.0,15043000.0,167500.0,30%,Wealth Creation,7,51,Gold,10.1
SWT-00179,60,1965000.0,9858000.0,66600.0,30%,Retirement,7,64,Gold,5.59
SWT-00180,40,2988000.0,10352000.0,129700.0,30%,Retirement,8,83,Mutual Funds,9.6
SWT-00181,33,1695000.0,1537000.0,53400.0,30%,Retirement,9,64,Equity/Stocks,-15.0
SWT-00182,29,1687000.0,1170000.0,55300.0,30%,Wealth Creation,9,89,Mutual Funds,10.81
SWT-00183,66,2100000.0,7700000.0,65400.0,30%,Retirement,6,62,Gold,10.6
SWT-00184,31,2766000.0,2250000.0,110800.0,30%,Retirement,8,98,Equity/Stocks,12.0
SWT-00185,28,1329000.0,1029000.0,40100.0,20%,Retirement,7,104,Mutual Funds,8.42
SWT-00186,45,3400000.0,9975000.0,172900.0,30%,Tax Saving,7,62,Mutual Funds,9.95
SWT-00187,65,1632000.0,2994000.0,45000.0,30%,Retirement,4,59,Bonds,6.84
SWT-00188,61,3537000.0,25000000.0,157000.0,30%,Retirement,4,47,Gold,7.85
SWT-00189,31,2197000.0,1748000.0,87500.0,30%,Retirement,10,117,Equity/Stocks,36.61
SWT-00190,39,1960000.0,3350000.0,66200.0,30%,Tax Saving,8,83,Mutual Funds,8.32
SWT-00191,24,2116000.0,861000.0,74100.0,30%,Wealth Creation,8,73,Mutual Funds,12.71
SWT-00192,29,1752000.0,1203000.0,54000.0,30%,Retirement,8,103,Equity/Stocks,9.93
SWT-00193,48,4318000.0,19479000.0,203100.0,30%,Tax Saving,7,65,Mutual Funds,22.33
SWT-00194,45,2900000.0,6038000.0,101500.0,30%,Wealth Creation,8,72,Mutual Funds,12.5
SWT-00195,23,1916000.0,117000.0,62100.0,30%,Tax Saving,8,81,Mutual Funds,23.37
SWT-00196,45,3505000.0,12029000.0,145800.0,30%,Retirement,6,89,Mutual Funds,9.46
SWT-00197,31,1783000.0,1896000.0,59800.0,30%,Retirement,9,88,Mutual Funds,20.57
SWT-00198,30,1592000.0,1389000.0,47600.0,30%,Retirement,6,103,Mutual Funds,12.07
SWT-00199,42,3278000.0,8366000.0,137400.0,30%,Short-term Gain,7,71,Mutual Funds,15.87
SWT-00200,37,1928000.0,3163000.0,63600.0,30%,Wealth Creation,8,74,Mutual Funds,4.69
SWT-00201,65,1492000.0,3200000.0,46400.0,20%,Wealth Creation,5,63,Gold,9.05
SWT-00202,43,3777000.0,15533000.0,170200.0,30%,Wealth Creation,8,78,Mutual Funds,5.53
SWT-00203,31,2909000.0,3862000.0,109200.0,30%,Short-term Gain,10,97,Equity/Stocks,17.56
SWT-00204,55,1780000.0,12182000.0,59500.0,30%,Tax Saving,5,41,Bonds,3.68
SWT-00205,41,2345000.0,5437000.0,94500.0,30%,Wealth Creation,9,79,Mutual Funds,10.94
SWT-00206,51,2103000.0,5003000.0,75300.0,30%,Wealth Creation,4,62,Bonds,6.71
SWT-00207,36,4769000.0,12979000.0,244700.0,30%,Retirement,10,77,Mutual Funds,14.95
SWT-00208,49,3820000.0,15455000.0,179100.0,30%,Wealth Creation,5,56,Gold,4.3
SWT-00209,24,1805000.0,440000.0,50300.0,30%,Short-term Gain,10,99,Equity/Stocks,-8.09
SWT-00210,50,3410000.0,14956000.0,150100.0,30%,Retirement,7,69,Mutual Funds,14.09
SWT-00211,37,1776000.0,1779000.0,57000.0,30%,Tax Saving,9,106,Mutual Funds,20.89
SWT-00212,28,1848000.0,664000.0,57600.0,30%,Retirement,10,97,Mutual Funds,5.43
SWT-00213,45,2999000.0,10758000.0,117400.0,30%,Short-term Gain,7,65,Mutual Funds,22.45
SWT-00214,27,2583000.0,2707000.0,96900.0,30%,Wealth Creation,9,120,Mutual Funds,11.46
SWT-00215,38,2692000.0,5872000.0,114900.0,30%,Tax Saving,7,75,Mutual Funds,1.28
SWT-00216,49,3095000.0,16137000.0,142400.0,30%,Wealth Creation,8,71,Mutual Funds,2.79
SWT-00217,56,2678000.0,17154000.0,97800.0,30%,Retirement,6,55,Gold,10.49
SWT-00218,49,2713000.0,10717000.0,103200.0,30%,Tax Saving,6,63,Mutual Funds,12.13
SWT-00219,33,2331000.0,2338000.0,82900.0,30%,Wealth Creation,9,93,Equity/Stocks,31.13
SWT-00220,39,2451000.0,5578000.0,98800.0,30%,Retirement,7,90,Mutual Funds,5.25
SWT-00221,24,2225000.0,801000.0,81700.0,30%,Retirement,9,106,Equity/Stocks,15.83
SWT-00222,40,3234000.0,10486000.0,141000.0,30%,Retirement,8,95,Mutual Funds,11.54
SWT-00223,40,3022000.0,10106000.0,131800.0,30%,Retirement,7,91,Mutual Funds,10.75
SWT-00224,61,1611000.0,5271000.0,49100.0,30%,Retirement,5,54,Gold,6.85
SWT-00225,41,2077000.0,4165000.0,81200.0,30%,Wealth Creation,10,92,Equity/Stocks,10.18
SWT-00226,32,2854000.0,3770000.0,116000.0,30%,Retirement,8,103,Mutual Funds,12.47
SWT-00227,48,4607000.0,22682000.0,226700.0,30%,Tax Saving,7,57,Bonds,5.92
SWT-00228,38,2916000.0,9805000.0,117600.0,30%,Retirement,8,114,Mutual Funds,12.91
SWT-00229,51,2462000.0,3937000.0,102600.0,30%,Retirement,7,62,Gold,12.2
SWT-00230,40,3047000.0,7970000.0,123600.0,30%,Wealth Creation,7,74,Mutual Funds,5.23
SWT-00231,45,2016000.0,5022000.0,75600.0,30%,Short-term Gain,8,62,Gold,1.26
SWT-00232,38,4222000.0,7553000.0,201200.0,30%,Tax Saving,8,70,Mutual Funds,17.17
SWT-00233,42,3054000.0,11126000.0,120500.0,30%,Tax Saving,6,85,Mutual Funds,6.91
SWT-00234,40,2289000.0,3835000.0,88500.0,30%,Retirement,10,116,Equity/Stocks,9.98
SWT-00235,50,2689000.0,8805000.0,98800.0,30%,Retirement,9,69,Mutual Funds,7.86
SWT-00236,26,1840000.0,1488000.0,65900.0,30%,Wealth Creation,8,99,Mutual Funds,7.97
SWT-00237,41,4350000.0,21740000.0,228300.0,30%,Short-term Gain,7,80,Mutual Funds,3.89
SWT-00238,43,2709000.0,9261000.0,99900.0,30%,Retirement,8,91,Mutual Funds,8.32
SWT-00239,63,2349000.0,13406000.0,86800.0,30%,Retirement,4,72,Gold,9.79
SWT-00240,54,3246000.0,14710000.0,134600.0,30%,Retirement,8,87,Mutual Funds,11.48
SWT-00241,37,2163000.0,7576000.0,79700.0,30%,Tax Saving,8,82,Mutual Funds,14.32
SWT-00242,64,2317000.0,15568000.0,98500.0,30%,Retirement,7,61,Mutual Funds,8.91
SWT-00243,45,3166000.0,8262000.0,131500.0,30%,Wealth Creation,7,81,Mutual Funds,16.21
SWT-00244,54,1643000.0,3209000.0,55200.0,30%,Retirement,6,61,Gold,6.35
SWT-00245,55,2882000.0,16072000.0,118000.0,30%,Retirement,8,54,Gold,0.16
SWT-00246,65,2091000.0,10027000.0,74100.0,30%,Wealth Creation,5,38,Bonds,5.88
SWT-00247,45,3023000.0,6030000.0,124800.0,30%,Wealth Creation,8,91,Mutual Funds,15.78
SWT-00248,60,2432000.0,13361000.0,85400.0,30%,Wealth Creation,7,74,Gold,6.05
SWT-00249,33,2785000.0,3779000.0,114900.0,30%,Short-term Gain,8,86,Mutual Funds,18.19
SWT-00250,58,3854000.0,25000000.0,179200.0,30%,Retirement,5,57,Gold,5.45
SWT-00251,49,1960000.0,6770000.0,62600.0,30%,Retirement,5,77,Gold,10.01
SWT-00252,46,2597000.0,6530000.0,109100.0,30%,Retirement,8,56,Mutual Funds,21.24
SWT-00253,37,3393000.0,9822000.0,151800.0,30%,Tax Saving,9,83,Mutual Funds,11.72
SWT-00254,61,2739000.0,12032000.0,107200.0,30%,Retirement,7,82,Gold,7.21
SWT-00255,48,3332000.0,11370000.0,162200.0,30%,Wealth Creation,7,74,Mutual Funds,10.95
SWT-00256,46,6500000.0,25000000.0,300400.0,30%,Tax Saving,6,55,Mutual Funds,19.41
SWT-00257,42,3501000.0,16439000.0,174100.0,30%,Wealth Creation,5,71,Gold,9.21
SWT-00258,22,2810000.0,10000.0,105400.0,30%,Retirement,10,118,Equity/Stocks,40.02
SWT-00259,58,2277000.0,15844000.0,84900.0,30%,Retirement,7,30,Gold,8.97
SWT-00260,31,1790000.0,3135000.0,56700.0,30%,Tax Saving,9,96,Mutual Funds,7.62
SWT-00261,59,2224000.0,7491000.0,74700.0,30%,Retirement,6,52,Gold,6.11
SWT-00262,56,3281000.0,6065000.0,158200.0,30%,Short-term Gain,5,36,Bonds,5.57
SWT-00263,46,3300000.0,17319000.0,165800.0,30%,Short-term Gain,6,70,Mutual Funds,1.58
SWT-00264,29,2672000.0,2190000.0,103400.0,30%,Tax Saving,10,98,Mutual Funds,8.51
SWT-00265,28,2140000.0,1093000.0,78400.0,30%,Wealth Creation,10,100,Equity/Stocks,9.11
SWT-00266,45,2573000.0,6206000.0,100000.0,30%,Wealth Creation,7,69,Mutual Funds,12.75
SWT-00267,44,2735000.0,6971000.0,124000.0,30%,Tax Saving,6,59,Mutual Funds,20.94
SWT-00268,25,2675000.0,1669000.0,87600.0,30%,Tax Saving,9,82,Mutual Funds,11.83
SWT-00269,43,3782000.0,14015000.0,183500.0,30%,Retirement,7,67,Gold,1.31
SWT-00270,26,1579000.0,966000.0,47300.0,30%,Tax Saving,10,113,Mutual Funds,5.74
SWT-00271,35,3393000.0,8109000.0,122200.0,30%,Retirement,8,89,Mutual Funds,12.96
SWT-00272,46,2353000.0,6180000.0,84900.0,30%,Short-term Gain,6,68,Gold,8.3
SWT-00273,25,2465000.0,809000.0,107400.0,30%,Retirement,9,87,Equity/Stocks,32.73
