session_id,typing_speed_wpm,keystroke_interval_std_ms,session_duration_sec,login_hour,geo_distance_from_home_km,failed_pin_attempts,device_change_flag,is_anomaly
SESS-000056,45.7,101.9,222.0,13,8.3,1,1,0
SESS-000057,51.5,102.2,352.2,13,0.6,0,0,0
SESS-000058,49.0,117.7,145.5,6,3.8,0,0,0
SESS-000059,35.9,79.4,133.9,8,5.1,0,0,0
SESS-000060,46.9,105.0,101.1,22,0.6,1,0,0
SESS-000061,68.6,121.8,139.5,22,1.7,0,0,0
SESS-000062,31.7,79.9,178.9,20,0.4,0,0,0
SESS-000063,48.8,87.5,541.0,14,9.8,0,0,0
SESS-000064,48.1,60.6,205.2,16,3.2,0,0,0
SESS-000065,37.3,54.0,313.9,17,5.9,0,0,0
SESS-000066,47.6,108.5,717.7,22,0.3,0,0,0
SESS-000067,61.1,73.9,108.7,18,5.1,0,0,0
SESS-000068,46.9,53.4,82.2,9,32.7,0,0,0
SESS-000069,50.1,68.0,468.0,21,5.1,0,0,0
SESS-000070,49.3,62.8,54.3,21,6.2,0,0,0
SESS-000071,43.4,62.5,332.8,9,0.0,0,0,0
SESS-000072,35.3,66.0,93.1,7,10.2,0,0,0
SESS-000073,60.5,77.6,347.9,20,14.4,0,0,0
SESS-000074,49.1,69.2,211.0,20,5.9,0,0,0
SESS-000075,47.0,64.2,238.9,14,1.1,0,0,0
SESS-000076,59.7,79.1,293.8,12,9.0,0,0,0
SESS-000077,42.5,86.1,254.5,7,0.9,0,1,0
SESS-000078,40.4,119.0,124.9,12,8.1,0,0,0
SESS-000079,46.1,92.5,217.6,17,4.0,0,1,0
SESS-000080,69.2,96.1,156.8,18,7.5,0,0,0
SESS-000081,34.2,72.7,129.7,12,8.8,1,0,0
SESS-000082,43.7,82.4,66.5,18,1.0,0,0,0
SESS-000083,43.7,88.4,174.4,22,8.5,0,0,0
SESS-000084,57.1,58.0,131.2,22,2.6,0,0,0
SESS-000085,65.4,52.4,223.8,22,7.8,0,0,0
SESS-000086,44.7,49.3,279.0,16,20.7,0,0,0
SESS-000087,42.5,118.3,157.9,18,2.5,0,0,0
SESS-000088,44.5,92.0,413.6,18,2.5,0,0,0
SESS-000089,46.8,73.8,386.8,12,17.7,0,0,0
SESS-000090,39.2,85.0,130.7,7,21.4,0,0,0
SESS-000091,34.1,65.2,173.8,18,8.3,0,0,0
SESS-000092,46.6,65.4,118.1,10,2.6,0,0,0
SESS-000093,51.0,67.8,892.9,14,4.5,1,0,0
SESS-000094,50.8,59.3,124.1,11,2.9,0,0,0
SESS-000095,44.9,79.9,368.8,6,1.5,0,0,0
SESS-000096,63.5,100.4,457.0,20,6.0,0,0,0
SESS-000097,56.9,65.6,130.8,18,8.1,1,0,0
SESS-000098,33.2,78.2,204.2,6,2.6,1,0,0
SESS-000099,39.7,62.5,110.5,10,12.4,1,0,0
SESS-000100,43.5,80.4,100.3,21,8.9,0,0,0
SESS-000101,50.4,78.1,109.7,14,3.8,0,0,0
SESS-000102,53.7,53.9,201.1,9,3.8,0,0,0
SESS-000103,43.1,27.4,162.1,22,10.1,0,1,0
SESS-000104,45.9,71.8,410.6,11,2.5,0,0,0
SESS-000105,33.5,82.5,181.8,10,4.0,0,0,0
SESS-000106,47.5,64.1,137.5,6,1.0,0,0,0
SESS-000107,47.2,63.6,231.0,14,2.5,0,0,0
SESS-000108,48.8,69.6,336.1,7,2.9,0,0,0
SESS-000109,64.3,71.5,130.3,21,0.7,1,0,0
SESS-000110,38.8,67.3,169.9,11,1.6,0,0,0
SESS-000111,26.0,73.5,84.9,21,1.4,0,0,0
SESS-000112,50.8,90.1,260.3,15,12.2,0,0,0
SESS-000113,50.0,95.4,62.0,6,4.5,0,0,0
SESS-000114,38.9,103.7,180.2,20,0.7,0,0,0
SESS-000115,44.2,24.4,135.7,21,11.2,0,0,0
SESS-000116,45.5,64.4,265.7,20,0.4,0,0,0
SESS-000117,35.4,99.5,171.6,18,0.1,0,0,0
SESS-000118,43.0,84.0,85.2,19,8.8,0,0,0
SESS-000119,47.0,89.4,99.9,11,4.1,0,0,0
SESS-000120,42.4,90.1,119.1,19,3.0,0,0,0
SESS-000121,46.7,90.3,277.7,9,5.3,0,0,0
SESS-000122,40.5,75.6,122.3,10,7.0,0,0,0
SESS-000123,34.6,79.8,566.1,18,6.2,0,0,0
SESS-000124,33.2,55.3,165.8,12,0.7,0,0,0
SESS-000125,43.3,70.9,113.7,11,1.8,0,0,0
SESS-000126,92.0,28.6,5.7,15,613.7,2,1,1
SESS-000127,49.3,89.0,103.7,15,5.1,0,0,0
SESS-000128,38.6,79.6,196.4,15,0.8,0,1,0
SESS-000129,42.4,81.4,193.8,15,0.3,0,0,0
SESS-000130,29.3,83.7,312.7,14,5.8,0,0,0
SESS-000131,36.9,83.7,104.6,8,3.8,0,0,0
SESS-000132,28.9,69.2,450.8,16,7.4,0,0,0
SESS-000133,31.3,115.3,339.4,10,3.9,0,0,0
SESS-000134,42.2,83.9,273.0,19,2.3,0,0,0
SESS-000135,21.6,101.6,190.9,6,2.7,0,0,0
SESS-000136,32.5,57.4,129.2,9,3.1,0,0,0
SESS-000137,40.1,144.7,216.2,19,14.6,0,0,0
SESS-000138,47.0,94.4,177.2,12,1.7,0,0,0
SESS-000139,40.9,72.8,157.2,18,6.5,0,0,0
SESS-000140,48.3,119.5,402.1,9,4.9,0,1,0
SESS-000141,57.3,92.9,160.2,15,9.8,0,0,0
SESS-000142,27.3,109.3,226.0,22,1.0,0,0,0
SESS-000143,47.4,82.0,181.0,20,3.0,0,0,0
SESS-000144,44.3,84.5,251.8,6,1.1,1,0,0
SESS-000145,51.6,68.7,128.5,11,4.3,0,0,0
SESS-000146,52.4,59.7,221.6,18,5.2,0,0,0
SESS-000147,62.8,90.9,858.0,13,1.1,0,0,0
SESS-000148,47.4,93.0,144.0,19,6.5,0,0,0
SESS-000149,53.3,57.1,151.8,21,1.0,0,0,0
SESS-000150,58.0,85.0,391.0,22,3.6,0,0,0
SESS-000151,39.6,102.2,214.7,17,0.2,0,0,0
SESS-000152,42.3,106.4,134.3,17,4.2,0,0,0
SESS-000153,47.5,25.9,107.9,11,2.5,0,0,0
SESS-000154,30.4,70.9,225.1,21,0.4,0,0,0
SESS-000155,41.1,106.3,115.4,15,8.1,0,1,0
SESS-000156,34.1,98.4,474.1,12,6.9,0,0,0
SESS-000157,53.1,79.3,514.1,15,1.0,0,0,0
SESS-000158,42.6,85.5,188.6,13,0.6,0,0,0
SESS-000159,49.6,90.6,403.1,20,1.4,0,0,0
SESS-000160,38.5,98.0,466.2,8,1.2,0,0,0
SESS-000161,55.1,76.4,125.1,20,3.4,0,0,0
SESS-000162,42.6,80.3,360.2,21,4.9,0,0,0
SESS-000163,46.6,67.1,77.3,17,3.2,1,0,0
SESS-000164,54.9,97.0,150.0,14,4.1,0,0,0
SESS-000165,83.8,47.9,32.7,7,3110.8,3,1,1
SESS-000166,50.1,86.9,213.4,19,1.8,0,0,0
SESS-000167,32.5,67.9,195.6,15,0.9,0,0,0
SESS-000168,48.0,69.7,167.8,11,2.7,0,0,0
SESS-000169,53.6,116.8,174.0,16,2.3,1,1,0
SESS-000170,41.1,117.0,213.2,19,10.6,1,0,0
SESS-000171,54.8,51.6,194.5,12,9.1,0,0,0
SESS-000172,45.4,70.3,177.4,12,2.5,0,0,0
SESS-000173,30.2,68.7,390.8,13,2.4,0,0,0
SESS-000174,38.7,84.5,217.2,14,5.0,0,0,0
SESS-000175,118.2,7.8,74.0,19,3679.3,5,1,1
SESS-000176,45.8,74.8,177.4,14,5.3,0,0,0
SESS-000177,46.7,99.5,129.0,7,2.2,0,1,0
SESS-000178,44.7,64.1,312.6,22,1.9,0,0,0
SESS-000179,47.3,86.1,256.7,11,1.1,1,0,0
SESS-000180,39.4,83.6,95.8,14,0.0,0,0,0
SESS-000181,43.0,119.3,507.4,20,0.2,0,0,0
SESS-000182,46.0,70.3,164.5,7,1.9,1,0,0
SESS-000183,26.8,68.7,210.7,22,0.0,1,0,0
SESS-000184,41.3,49.9,220.3,14,1.1,0,0,0
SESS-000185,46.8,68.5,236.6,11,3.8,0,0,0
SESS-000186,43.7,94.0,197.3,20,2.5,0,0,0
SESS-000187,43.3,57.4,248.4,20,0.2,0,1,0
SESS-000188,37.6,111.2,214.8,21,0.3,0,0,0
SESS-000189,27.7,70.3,322.2,18,2.2,0,0,0
SESS-000190,32.5,52.1,185.3,22,4.3,0,0,0
SESS-000191,23.9,55.8,188.5,10,0.4,1,0,0
SESS-000192,58.1,91.6,264.3,21,11.6,0,0,0
SESS-000193,44.7,111.6,43.4,7,5.3,0,0,0
SESS-000194,46.0,69.4,334.1,6,0.5,0,0,0
SESS-000195,47.1,107.2,162.9,9,2.3,0,0,0
SESS-000196,49.9,72.4,64.5,14,0.3,0,0,0
SESS-000197,111.5,9.1,12.5,5,1337.6,3,1,1
SESS-000198,47.9,59.1,93.2,21,0.8,0,0,0
SESS-000199,49.6,95.4,264.8,8,2.1,0,0,0
SESS-000200,33.7,85.5,62.6,12,1.1,0,0,0
SESS-000201,22.6,66.3,102.9,6,0.7,0,0,0
SESS-000202,50.2,57.5,115.4,17,10.7,0,1,0
SESS-000203,28.9,58.8,80.0,17,1.3,0,0,0
SESS-000204,43.8,69.7,237.5,12,8.4,0,0,0
SESS-000205,44.1,66.0,114.6,13,6.7,0,0,0
SESS-000206,54.1,53.6,533.1,8,5.8,0,0,0
SESS-000207,42.3,61.9,172.1,22,0.2,1,0,0
SESS-000208,41.8,91.1,123.8,16,3.0,0,0,0
SESS-000209,60.4,78.8,247.8,22,3.6,0,0,0
SESS-000210,53.9,53.3,218.7,22,0.8,0,0,0
SESS-000211,38.1,117.0,203.3,16,15.5,0,0,0
SESS-000212,47.9,81.0,180.5,10,4.8,0,0,0
SESS-000213,34.6,89.2,97.7,13,0.8,0,0,0
SESS-000214,64.4,76.1,122.1,22,0.9,0,0,0
SESS-000215,61.6,78.2,95.4,16,0.7,0,0,0
SESS-000216,41.2,78.5,199.6,17,1.6,0,0,0
SESS-000217,57.3,104.3,228.8,12,1.9,0,0,0
SESS-000218,50.6,75.3,151.0,11,13.4,0,0,0
SESS-000219,27.7,85.0,629.9,15,0.4,0,0,0
SESS-000220,55.5,97.3,242.3,16,0.2,0,0,0
SESS-000221,58.4,40.7,300.7,16,1.9,0,0,0
SESS-000222,68.8,98.4,320.1,10,4.0,0,0,0
SESS-000223,47.5,46.8,173.9,15,9.4,0,0,0
SESS-000224,31.5,56.6,94.5,17,0.7,0,0,0
SESS-000225,59.0,109.7,259.1,9,4.9,0,0,0
SESS-000226,37.3,102.1,112.5,11,0.9,0,0,0
SESS-000227,36.8,70.6,130.6,22,5.3,0,0,0
SESS-000228,45.5,58.8,862.1,22,5.7,0,0,0
SESS-000229,37.3,89.1,147.3,12,1.8,0,0,0
SESS-000230,39.1,97.0,162.7,14,5.2,0,0,0
SESS-000231,48.2,105.7,66.7,10,7.7,0,0,0
SESS-000232,53.1,102.1,131.4,7,3.5,0,0,0
SESS-000233,69.5,114.0,119.5,6,6.7,0,0,0
SESS-000234,35.9,79.3,50.5,22,4.6,0,0,0
SESS-000235,47.7,83.3,182.7,7,12.0,0,1,0
SESS-000236,50.5,37.3,104.3,22,1.3,0,0,0
SESS-000237,56.8,60.6,201.3,16,30.5,0,0,0
SESS-000238,44.4,61.1,87.3,8,8.3,0,0,0
SESS-000239,38.8,52.0,99.9,17,12.0,0,0,0
SESS-000240,44.2,91.6,216.0,8,3.6,0,0,0
SESS-000241,35.0,85.8,161.9,22,3.4,1,0,0
SESS-000242,63.2,114.2,238.7,9,1.1,0,0,0
SESS-000243,68.3,31.5,187.8,11,2.2,0,0,0
SESS-000244,36.6,119.5,348.2,7,7.3,0,0,0
SESS-000245,45.8,123.4,106.8,9,0.4,1,0,0
SESS-000246,44.7,65.0,180.9,22,5.1,0,0,0
SESS-000247,41.4,72.2,141.7,15,13.5,0,0,0
SESS-000248,35.3,89.2,166.7,18,3.7,0,0,0
SESS-000249,38.7,84.7,164.3,13,3.6,0,0,0
SESS-000250,60.0,59.3,54.9,15,8.0,0,0,0
SESS-000251,48.8,67.0,298.2,17,2.0,0,0,0
SESS-000252,42.9,52.6,134.9,16,4.7,0,0,0
SESS-000253,47.3,62.6,246.4,15,16.0,0,0,0
SESS-000254,29.1,100.9,438.1,21,6.4,0,0,0
SESS-000255,35.7,94.5,142.1,9,4.2,0,1,0
SESS-000256,39.2,85.6,567.4,14,2.0,0,0,0
SESS-000257,39.4,66.0,146.9,11,31.1,1,0,0
SESS-000258,45.4,79.6,265.0,19,2.1,0,0,0
SESS-000259,50.3,108.4,352.5,21,1.0,0,0,0
SESS-000260,32.2,55.8,80.8,13,5.7,0,0,0
SESS-000261,63.6,92.1,763.2,15,0.8,0,0,0
SESS-000262,49.6,33.2,225.5,11,14.4,0,0,0
SESS-000263,61.2,87.0,445.2,13,4.4,0,0,0
SESS-000264,39.7,66.3,462.4,9,2.7,0,0,0
SESS-000265,43.4,76.8,111.9,12,9.2,0,0,0
SESS-000266,38.7,56.4,171.2,16,16.0,0,0,0
SESS-000267,54.2,127.5,154.0,14,2.7,0,0,0
SESS-000268,48.3,61.9,70.5,9,8.8,0,0,0
SESS-000269,39.2,33.4,181.1,11,4.8,0,0,0
SESS-000270,56.3,88.5,464.2,6,1.6,0,0,0
SESS-000271,52.3,84.9,303.8,18,0.7,0,0,0
SESS-000272,50.1,129.5,34.0,12,8.8,0,0,0
SESS-000273,43.0,108.1,245.8,19,5.9,0,0,0
SESS-000274,48.7,67.8,161.2,15,3.0,0,0,0
SESS-000275,58.0,93.9,94.7,8,3.3,0,0,0
SESS-000276,43.1,60.5,205.7,20,6.4,0,0,0
SESS-000277,54.0,79.4,261.5,6,0.9,0,0,0
SESS-000278,42.8,75.7,154.0,16,0.1,0,0,0
SESS-000279,46.6,11.6,40.3,6,691.9,0,1,1
SESS-000280,25.1,57.7,415.3,21,1.5,0,0,0
SESS-000281,41.3,78.3,119.7,9,2.9,0,0,0
SESS-000282,55.4,86.6,122.0,11,14.9,0,0,0
SESS-000283,67.8,93.5,97.3,6,6.5,0,0,0
SESS-000284,64.1,69.5,127.5,7,11.7,0,0,0
SESS-000285,46.3,91.5,557.0,22,1.0,0,0,0
SESS-000286,45.4,109.6,94.4,9,9.3,0,0,0
SESS-000287,53.5,113.6,459.1,11,0.2,0,0,0
SESS-000288,44.2,94.5,88.7,19,5.5,0,0,0
SESS-000289,38.5,86.5,423.3,22,15.4,0,0,0
SESS-000290,34.4,63.6,145.4,8,0.0,0,0,0
SESS-000291,44.9,105.0,88.2,8,12.1,0,0,0
SESS-000292,40.6,37.9,189.3,18,1.7,0,0,0
SESS-000293,49.5,41.0,107.7,12,1.8,0,0,0
SESS-000294,40.0,95.9,74.1,14,2.7,0,0,0
SESS-000295,47.6,91.4,317.5,19,2.9,1,0,0
SESS-000296,45.1,68.1,152.0,14,1.6,0,0,0
SESS-000297,51.1,58.1,213.4,6,10.2,0,0,0
SESS-000298,40.9,28.8,66.3,17,2.2,0,0,0
SESS-000299,48.4,72.0,228.7,17,1.8,1,0,0
SESS-000300,60.4,86.0,304.8,8,2.6,0,0,0
SESS-000301,50.2,34.4,137.2,18,3.0,0,0,0
SESS-000302,48.0,80.5,104.7,12,3.6,0,0,0
SESS-000303,51.7,94.5,102.7,12,2.8,0,0,0
SESS-000304,33.2,98.0,117.2,22,1.9,0,0,0
SESS-000305,37.7,55.1,208.0,6,2.9,0,0,0
SESS-000306,29.6,95.0,660.6,10,10.0,0,0,0
SESS-000307,47.4,51.9,311.8,14,7.7,0,0,0
SESS-000308,55.4,60.7,156.7,10,6.6,0,0,0
SESS-000309,40.2,90.2,185.6,7,2.6,0,0,0
SESS-000310,33.2,78.4,438.2,11,14.6,0,0,0
SESS-000311,59.2,62.7,61.5,13,0.1,0,0,0
SESS-000312,47.4,52.1,545.4,12,1.5,0,0,0
SESS-000313,58.6,53.2,132.0,7,1.7,0,0,0
SESS-000314,42.2,82.1,180.6,8,6.7,0,0,0
SESS-000315,43.1,70.9,865.7,11,8.9,0,0,0
SESS-000316,20.5,73.3,123.4,6,0.5,0,0,0
SESS-000317,51.4,75.9,275.1,22,1.0,0,0,0
SESS-000318,52.5,93.9,216.3,6,5.7,0,0,0
SESS-000319,58.8,48.9,117.5,18,1.5,1,0,0
SESS-000320,46.5,82.4,317.2,17,3.9,0,0,0
SESS-000321,39.4,78.4,254.9,16,0.7,0,0,0
SESS-000322,46.0,95.9,260.6,22,3.8,0,0,0
SESS-000323,51.1,102.0,424.1,8,15.1,1,0,0
SESS-000324,40.3,47.3,80.9,10,11.9,0,1,0
SESS-000325,47.2,53.6,113.9,9,7.7,0,0,0
SESS-000326,63.8,64.2,212.5,6,12.8,0,0,0
SESS-000327,51.3,73.9,122.9,14,3.9,0,0,0
SESS-000328,47.1,46.3,114.5,15,6.3,1,0,0
SESS-000329,57.7,87.6,473.8,7,0.9,0,0,0
SESS-000330,52.4,79.6,177.3,7,7.2,1,0,0
SESS-000331,48.2,94.6,112.3,9,1.6,0,0,0
SESS-000332,55.2,119.4,334.7,22,9.8,0,0,0
SESS-000333,60.3,81.9,226.7,14,0.1,0,0,0
SESS-000334,33.2,97.7,210.3,8,3.0,0,0,0
SESS-000335,51.9,83.4,126.0,14,0.9,0,0,0
SESS-000336,44.8,64.3,127.2,22,9.4,0,0,0
SESS-000337,27.0,56.1,112.6,15,10.7,0,0,0
SESS-000338,43.4,101.3,210.2,20,4.2,0,0,0
SESS-000339,43.4,119.8,39.8,9,2.7,0,0,0
SESS-000340,32.7,76.9,269.7,22,4.0,0,0,0
SESS-000341,54.0,63.7,186.1,19,6.0,0,0,0
SESS-000342,40.9,78.7,200.0,18,0.8,0,0,0
SESS-000343,54.5,78.0,361.1,16,17.3,0,0,0
SESS-000344,35.9,92.6,178.8,16,15.3,0,0,0
SESS-000345,45.3,51.5,340.7,9,4.7,1,0,0
SESS-000346,45.1,78.0,171.7,17,2.2,0,0,0
SESS-000347,38.4,54.0,80.1,8,0.6,0,0,0
SESS-000348,44.4,64.5,167.2,11,3.8,1,0,0
SESS-000349,59.9,78.2,110.5,9,17.1,1,0,0
SESS-000350,30.4,63.8,273.6,14,2.5,0,0,0
SESS-000351,49.8,125.5,217.6,6,4.8,0,1,0
SESS-000352,31.2,136.1,224.1,10,14.4,0,1,0
SESS-000353,51.4,61.5,139.8,17,1.7,0,0,0
SESS-000354,50.1,51.7,80.5,10,9.5,0,0,0
SESS-000355,31.8,59.8,169.2,20,21.5,0,0,0
SESS-000356,69.2,74.2,271.0,9,4.1,0,0,0
SESS-000357,57.0,60.8,217.2,21,0.0,0,0,0
SESS-000358,45.4,92.6,328.4,12,1.0,0,0,0
SESS-000359,35.4,106.5,571.1,12,2.8,0,0,0
SESS-000360,43.1,70.9,131.1,8,3.6,0,0,0
SESS-000361,45.6,108.1,106.1,17,5.1,0,0,0
SESS-000362,42.6,84.6,76.4,6,0.0,0,0,0
SESS-000363,24.0,48.3,252.4,18,5.5,0,0,0
SESS-000364,55.0,116.7,202.6,14,4.2,0,0,0
SESS-000365,39.0,63.4,138.2,21,0.2,0,0,0
SESS-000366,48.8,60.0,117.8,18,14.0,0,0,0
SESS-000367,39.2,51.8,392.8,19,0.5,0,0,0
SESS-000368,52.1,90.6,257.9,20,9.9,0,0,0
SESS-000369,48.6,111.5,488.6,11,1.3,1,0,0
SESS-000370,59.2,77.4,412.3,17,0.7,0,1,0
SESS-000371,41.5,73.6,240.4,6,3.4,0,1,0
SESS-000372,53.0,112.5,240.4,14,4.3,0,0,0
SESS-000373,41.4,51.8,71.8,17,3.6,0,0,0
SESS-000374,21.8,79.4,73.6,17,9.0,1,0,0
SESS-000375,38.0,102.6,42.6,22,2.1,0,0,0
SESS-000376,53.7,97.4,46.8,19,34.1,0,0,0
SESS-000377,51.4,121.5,134.9,16,8.3,0,0,0
SESS-000378,59.7,120.9,119.0,16,1.3,0,0,0
SESS-000379,51.8,93.1,175.2,18,7.7,0,0,0
SESS-000380,42.2,75.8,182.9,19,7.7,0,0,0
SESS-000381,52.2,116.5,130.0,8,19.6,0,0,0
SESS-000382,28.9,94.2,197.0,13,1.8,0,0,0
SESS-000383,40.4,82.2,57.8,16,0.3,0,0,0
SESS-000384,49.0,67.7,176.9,22,2.2,0,0,0
SESS-000385,50.4,55.9,193.4,17,5.4,0,0,0
SESS-000386,35.1,62.2,339.0,7,3.1,0,0,0
SESS-000387,33.1,93.4,435.6,15,4.0,0,0,0
SESS-000388,49.7,67.8,244.5,16,1.6,0,0,0
SESS-000389,27.9,89.5,77.8,20,0.8,0,0,0
SESS-000390,65.9,85.7,140.9,6,1.7,0,0,0
SESS-000391,108.2,6.3,7.4,6,2215.6,1,1,1
SESS-000392,38.1,54.1,118.8,20,11.0,0,0,0
SESS-000393,63.1,116.5,145.8,6,0.5,0,1,0
SESS-000394,35.6,45.0,160.4,22,5.8,0,0,0
SESS-000395,49.7,61.6,392.5,9,2.6,0,0,0
SESS-000396,47.9,65.5,168.3,6,0.7,0,0,0
SESS-000397,63.3,62.6,167.0,9,0.3,0,0,0
SESS-000398,52.9,86.3,78.3,8,1.7,0,0,0
SESS-000399,55.5,93.5,471.6,17,0.9,0,0,0
SESS-000400,50.1,104.5,196.8,17,4.9,0,0,0
SESS-000401,55.3,25.2,5.9,14,2885.2,1,1,1
SESS-000402,36.0,48.9,436.6,16,4.3,0,0,0
SESS-000403,46.5,81.3,186.2,9,2.8,0,0,0
SESS-000404,56.0,74.0,120.5,17,6.8,0,0,0
SESS-000405,56.9,75.3,343.2,12,4.7,0,0,0
SESS-000406,41.3,47.1,177.3,13,9.5,0,0,0
SESS-000407,63.9,55.3,123.9,9,2.7,0,0,0
SESS-000408,42.3,30.6,154.6,11,4.2,1,0,0
SESS-000409,39.6,75.7,187.5,20,2.2,0,0,0
SESS-000410,41.9,99.9,250.2,13,7.7,0,0,0
SESS-000411,27.4,78.1,336.8,22,10.5,0,0,0
SESS-000412,49.8,84.9,246.9,17,13.0,0,0,0
SESS-000413,57.4,29.6,157.7,20,0.3,0,0,0
SESS-000414,42.2,126.4,332.0,20,6.8,0,0,0
SESS-000415,33.2,92.4,101.8,13,1.0,0,0,0
SESS-000416,53.1,36.2,107.3,8,6.6,0,0,0
SESS-000417,51.5,65.6,105.0,12,5.6,0,0,0
SESS-000418,52.7,53.9,222.9,10,4.1,0,0,0
SESS-000419,49.9,68.5,296.5,18,2.9,1,1,0
SESS-000420,55.8,59.2,365.4,10,3.0,0,0,0
SESS-000421,46.7,75.5,487.1,6,8.0,0,0,0
SESS-000422,53.0,69.3,390.9,9,1.5,0,0,0
SESS-000423,51.4,81.3,907.4,17,5.5,0,0,0
SESS-000424,44.0,86.0,199.7,19,2.7,0,0,0
SESS-000425,45.9,87.5,230.9,21,0.6,0,0,0
SESS-000426,54.9,120.9,407.3,17,7.3,0,0,0
SESS-000427,49.6,86.2,133.0,12,1.8,0,0,0
SESS-000428,53.4,95.2,238.3,11,11.1,0,0,0
SESS-000429,53.2,111.1,103.9,9,2.4,0,0,0
SESS-000430,44.9,71.0,153.5,10,5.6,0,0,0
SESS-000431,60.9,115.5,223.6,15,2.2,0,0,0
SESS-000432,62.5,20.0,508.3,16,0.7,1,0,0
SESS-000433,22.4,66.8,192.1,8,1.6,0,0,0
SESS-000434,33.8,77.6,172.2,19,11.0,0,0,0
SESS-000435,50.8,83.9,150.3,6,9.0,0,0,0
SESS-000436,33.7,88.2,146.5,14,1.6,1,0,0
SESS-000437,21.1,69.3,191.7,10,5.2,0,0,0
SESS-000438,37.6,63.1,207.6,11,8.4,0,0,0
SESS-000439,56.4,53.1,100.9,22,13.7,0,0,0
SESS-000440,28.5,71.5,101.8,12,3.7,0,0,0
SESS-000441,29.3,90.2,132.8,18,0.2,0,0,0
SESS-000442,41.9,81.0,125.5,10,3.8,0,0,0
SESS-000443,56.6,67.3,173.1,16,2.3,0,0,0
SESS-000444,49.1,84.1,131.8,19,2.1,0,0,0
SESS-000445,35.5,81.8,131.5,7,9.2,0,0,0
SESS-000446,54.6,47.7,114.7,16,3.2,0,1,0
