request_id,payload_size_bytes,special_char_ratio,requests_per_minute,unique_endpoints_last_5min,hour_of_day,response_time_ms,failed_requests_ratio,is_anomaly
REQ-000082,137.2,0.0148,2.12,1,7,61.4,0.003,0
REQ-000083,137.0,0.0193,1.82,2,15,109.4,0.0095,0
REQ-000084,306.0,0.0277,0.46,3,11,107.0,0.029,0
REQ-000085,503.2,0.0111,3.36,1,13,165.0,0.1169,0
REQ-000086,146.1,0.041,2.54,3,19,125.9,0.0111,0
REQ-000087,127.5,0.0482,5.46,2,7,172.4,0.0131,0
REQ-000088,144.0,0.0277,0.48,2,21,144.1,0.0292,0
REQ-000089,165.0,0.1279,4.08,3,8,63.2,0.0055,0
REQ-000090,105.0,0.0785,2.63,1,17,149.9,0.0103,0
REQ-000091,77.4,0.0918,1.5,3,17,79.5,0.0229,0
REQ-000092,163.2,0.0968,3.21,1,20,89.3,0.0047,0
REQ-000093,213.0,0.0273,4.33,1,21,115.1,0.0559,0
REQ-000094,210.5,0.1095,1.09,1,16,77.0,0.0135,0
REQ-000095,147.2,0.0812,1.88,1,20,112.8,0.0639,0
REQ-000096,450.5,0.0538,2.8,2,13,105.3,0.0167,0
REQ-000097,303.0,0.1126,1.29,3,21,49.8,0.0277,0
REQ-000098,73.1,0.0194,2.91,1,20,72.1,0.0087,0
REQ-000099,107.8,0.0353,6.74,1,13,161.4,0.058,0
REQ-000100,135.3,0.1265,3.44,3,7,142.5,0.0023,0
REQ-000101,205.5,0.025,0.1,3,18,123.9,0.0133,0
REQ-000102,250.4,0.049,1.02,2,12,184.1,0.0164,0
REQ-000103,132.6,0.0692,1.29,3,22,86.9,0.0069,0
REQ-000104,156.6,0.039,4.1,2,16,50.4,0.0168,0
REQ-000105,74.5,0.0115,0.8,1,13,57.1,0.0077,0
REQ-000106,172.7,0.0313,1.31,2,16,86.8,0.0029,0
REQ-000107,168.9,0.0186,4.15,3,6,109.6,0.0401,0
REQ-000108,186.3,0.0219,0.42,2,7,142.3,0.0541,0
REQ-000109,473.6,0.0925,1.52,1,17,84.6,0.0153,0
REQ-000110,102.3,0.1126,0.66,1,12,87.6,0.0266,0
REQ-000111,50.0,0.15,0.68,2,13,76.6,0.0362,0
REQ-000112,210.8,0.0076,2.0,3,12,173.9,0.0078,0
REQ-000113,200.3,0.0168,2.31,1,8,44.3,0.0155,0
REQ-000114,103.0,0.0476,2.73,1,6,130.1,0.0517,0
REQ-000115,141.5,0.0143,0.57,2,9,104.0,0.0058,0
REQ-000116,153.3,0.031,1.16,2,13,110.9,0.019,0
REQ-000117,83.3,0.0473,2.57,2,11,228.7,0.0007,0
REQ-000118,131.4,0.0675,2.18,3,22,94.4,0.0103,0
REQ-000119,167.7,0.0681,3.65,2,11,114.7,0.0359,0
REQ-000120,127.1,0.0753,2.85,3,9,134.2,0.0388,0
REQ-000121,164.4,0.1184,4.75,1,22,123.7,0.0004,0
REQ-000122,113.1,0.0483,0.42,1,7,49.0,0.0211,0
REQ-000123,79.3,0.0372,8.03,3,10,79.0,0.014,0
REQ-000124,72.9,0.0282,11.0,3,10,92.4,0.008,0
REQ-000125,134.1,0.0205,2.11,1,14,82.5,0.0466,0
REQ-000126,2029.2,0.4341,15.0,32,20,118.5,0.8299,1
REQ-000127,192.0,0.0582,0.56,1,19,44.6,0.004,0
REQ-000128,101.3,0.0173,1.52,1,13,87.8,0.0159,0
REQ-000129,126.6,0.0221,1.87,3,21,56.5,0.0288,0
REQ-000130,58.0,0.0107,2.85,1,12,54.7,0.0134,0
REQ-000131,91.5,0.0483,2.3,3,21,145.6,0.0396,0
REQ-000132,56.3,0.038,3.72,3,13,103.0,0.0454,0
REQ-000133,65.3,0.0669,3.28,3,20,46.1,0.0175,0
REQ-000134,125.2,0.1111,1.7,2,20,56.3,0.0245,0
REQ-000135,50.0,0.0642,2.86,2,12,67.7,0.0059,0
REQ-000136,70.2,0.0225,9.56,1,17,61.0,0.0145,0
REQ-000137,110.3,0.0227,2.08,3,11,74.4,0.0008,0
REQ-000138,167.0,0.0344,0.37,3,22,69.7,0.0059,0
REQ-000139,116.3,0.0677,3.06,3,10,153.4,0.0086,0
REQ-000140,180.9,0.0194,3.32,1,9,36.1,0.0209,0
REQ-000141,311.0,0.0405,1.34,2,12,121.1,0.0388,0
REQ-000142,51.2,0.0202,0.1,2,16,97.1,0.0079,0
REQ-000143,171.3,0.0777,2.0,3,19,63.0,0.0061,0
REQ-000144,142.7,0.0059,0.54,3,16,125.2,0.0106,0
REQ-000145,219.9,0.0639,1.77,3,13,77.4,0.0112,0
REQ-000146,231.3,0.0456,1.09,2,20,86.6,0.0367,0
REQ-000147,431.4,0.1265,4.07,2,20,132.9,0.0256,0
REQ-000148,171.2,0.15,4.8,3,6,100.7,0.0053,0
REQ-000149,244.4,0.0216,1.78,2,14,109.3,0.0374,0
REQ-000150,323.2,0.0325,0.73,1,19,62.1,0.0091,0
REQ-000151,107.7,0.0396,2.63,1,18,152.9,0.033,0
REQ-000152,126.3,0.0667,7.06,1,22,71.5,0.0095,0
REQ-000153,172.7,0.0839,0.67,1,10,90.0,0.0064,0
REQ-000154,61.9,0.0464,8.48,1,13,69.9,0.0635,0
REQ-000155,117.6,0.0167,2.45,3,8,94.9,0.0135,0
REQ-000156,77.1,0.0156,3.87,2,12,85.8,0.0065,0
REQ-000157,240.7,0.0196,0.87,1,14,90.5,0.002,0
REQ-000158,128.8,0.0137,4.3,1,21,89.3,0.0401,0
REQ-000159,195.2,0.0363,0.1,3,9,79.2,0.0415,0
REQ-000160,100.5,0.0616,1.43,2,11,110.9,0.0082,0
REQ-000161,271.9,0.0533,2.99,3,17,69.8,0.0343,0
REQ-000162,128.8,0.0254,4.99,2,13,107.8,0.0254,0
REQ-000163,163.4,0.0529,3.82,2,12,60.8,0.0103,0
REQ-000164,269.5,0.0045,1.27,1,21,72.8,0.0021,0
REQ-000165,9251.8,0.6626,23.26,21,11,249.7,0.3361,1
REQ-000166,201.3,0.0728,1.26,2,15,83.3,0.0092,0
REQ-000167,70.2,0.0481,1.62,3,15,58.8,0.0113,0
REQ-000168,177.3,0.0382,1.77,3,15,109.6,0.0223,0
REQ-000169,248.9,0.082,0.75,1,22,72.3,0.021,0
REQ-000170,117.2,0.1441,1.88,3,10,84.9,0.0065,0
REQ-000171,267.6,0.0416,1.64,1,16,134.1,0.0642,0
REQ-000172,151.7,0.0415,2.44,2,22,54.2,0.0387,0
REQ-000173,61.0,0.0368,2.96,2,16,81.9,0.0232,0
REQ-000174,101.8,0.0118,0.69,1,12,146.9,0.0193,0
REQ-000175,2174.4,0.4592,39.76,25,4,306.3,0.6104,1
REQ-000176,155.7,0.0874,1.6,2,22,109.3,0.002,0
REQ-000177,164.2,0.0582,8.63,1,8,217.8,0.0331,0
REQ-000178,145.4,0.041,3.51,1,18,61.0,0.0011,0
REQ-000179,170.8,0.0272,5.16,2,15,103.2,0.0079,0
REQ-000180,105.9,0.0558,0.16,1,6,49.5,0.0,0
REQ-000181,131.5,0.0802,3.17,2,6,80.1,0.0188,0
REQ-000182,157.8,0.0598,3.91,1,22,161.3,0.0504,0
REQ-000183,50.0,0.0163,0.86,2,17,127.6,0.0033,0
REQ-000184,118.5,0.095,1.51,1,16,89.1,0.0242,0
REQ-000185,165.0,0.035,2.48,1,12,64.0,0.0385,0
REQ-000186,137.7,0.0553,7.57,2,14,114.0,0.0335,0
REQ-000187,133.9,0.0282,8.82,3,16,47.4,0.032,0
REQ-000188,95.3,0.0293,3.73,2,7,145.2,0.0538,0
REQ-000189,52.7,0.131,1.16,3,22,101.7,0.0292,0
REQ-000190,70.1,0.111,2.26,3,8,133.7,0.0239,0
REQ-000191,50.0,0.0404,0.34,3,8,48.9,0.0469,0
REQ-000192,325.3,0.0922,1.13,3,16,147.8,0.0198,0
REQ-000193,145.9,0.0945,0.16,2,8,83.3,0.0001,0
REQ-000194,157.8,0.0396,0.27,3,8,98.4,0.0409,0
REQ-000195,168.4,0.0503,6.55,2,13,84.7,0.0238,0
REQ-000196,198.6,0.0835,4.18,2,6,62.5,0.0196,0
REQ-000197,500.0,0.6633,78.06,31,18,432.3,0.748,1
REQ-000198,176.8,0.0245,0.37,2,17,92.9,0.0131,0
REQ-000199,195.1,0.0543,1.69,3,16,75.1,0.0359,0
REQ-000200,75.4,0.0504,2.35,1,15,82.4,0.0235,0
REQ-000201,50.0,0.0475,0.45,1,22,88.9,0.0095,0
REQ-000202,203.1,0.0342,0.18,3,12,45.4,0.0005,0
REQ-000203,56.6,0.0421,0.78,3,6,190.1,0.0122,0
REQ-000204,138.0,0.025,0.72,2,19,90.2,0.0389,0
REQ-000205,140.9,0.0152,1.68,3,18,98.6,0.01,0
REQ-000206,255.9,0.0502,2.29,2,16,129.5,0.0424,0
REQ-000207,126.4,0.051,0.1,1,20,124.2,0.069,0
REQ-000208,122.8,0.0104,0.73,3,10,115.8,0.0038,0
REQ-000209,374.9,0.0429,0.21,3,19,46.3,0.0024,0
REQ-000210,253.8,0.0114,5.56,3,9,43.4,0.019,0
REQ-000211,98.4,0.0216,0.53,2,10,84.3,0.0367,0
REQ-000212,176.5,0.0607,1.85,2,19,81.0,0.0077,0
REQ-000213,79.8,0.0467,0.46,2,7,86.2,0.0031,0
REQ-000214,474.0,0.0616,2.83,3,11,40.6,0.0498,0
REQ-000215,402.8,0.0704,0.75,3,13,50.3,0.0101,0
REQ-000216,118.4,0.0518,4.8,1,17,61.3,0.0068,0
REQ-000217,310.3,0.032,0.11,2,13,149.8,0.0004,0
REQ-000218,207.4,0.0336,2.19,1,20,73.2,0.011,0
REQ-000219,52.7,0.0597,1.93,2,20,147.1,0.0145,0
REQ-000220,279.1,0.15,1.76,2,11,93.2,0.0036,0
REQ-000221,331.8,0.0075,2.79,2,8,46.3,0.0441,0
REQ-000222,619.9,0.0529,1.22,2,15,81.9,0.0095,0
REQ-000223,172.0,0.0137,3.37,3,16,73.1,0.0558,0
REQ-000224,66.2,0.0468,0.1,1,20,96.2,0.0201,0
REQ-000225,343.6,0.1289,0.54,3,18,99.6,0.0047,0
REQ-000226,93.7,0.1162,0.33,3,20,231.4,0.0009,0
REQ-000227,90.9,0.0422,0.4,2,6,208.0,0.0225,0
REQ-000228,153.1,0.0986,1.12,2,10,105.2,0.0207,0
REQ-000229,93.3,0.0585,5.44,2,15,86.9,0.0754,0
REQ-000230,104.1,0.0235,0.48,1,10,44.3,0.0227,0
REQ-000231,180.1,0.0217,6.68,2,17,88.2,0.0152,0
REQ-000232,241.5,0.0525,0.13,2,15,68.9,0.0045,0
REQ-000233,644.1,0.0791,2.94,2,19,75.7,0.0688,0
REQ-000234,86.1,0.1095,0.6,1,10,90.4,0.0061,0
REQ-000235,174.4,0.0139,1.36,3,14,108.0,0.0221,0
REQ-000236,206.5,0.0649,1.44,3,16,51.0,0.0818,0
REQ-000237,301.7,0.1268,2.08,3,18,91.2,0.0455,0
REQ-000238,143.1,0.0502,2.73,2,13,104.0,0.0203,0
REQ-000239,102.2,0.016,0.51,1,12,149.5,0.04,0
REQ-000240,141.5,0.0419,2.73,1,16,89.0,0.0021,0
REQ-000241,81.3,0.0249,1.5,2,22,74.7,0.0659,0
REQ-000242,442.5,0.0251,0.1,3,20,116.7,0.0093,0
REQ-000243,601.0,0.15,5.88,1,8,136.9,0.0056,0
REQ-000244,89.6,0.0539,3.59,3,10,49.7,0.0079,0
REQ-000245,155.3,0.052,0.71,1,18,149.5,0.045,0
REQ-000246,145.9,0.0094,4.45,3,18,101.9,0.0076,0
REQ-000247,119.5,0.0443,0.51,3,14,80.4,0.0095,0
REQ-000248,83.0,0.1168,1.51,3,13,118.9,0.048,0
REQ-000249,101.5,0.0027,0.13,3,7,125.5,0.0077,0
REQ-000250,365.5,0.0617,1.63,3,17,52.9,0.0361,0
REQ-000251,187.0,0.0627,4.54,1,13,120.6,0.0313,0
REQ-000252,131.0,0.0084,3.25,1,19,106.8,0.0236,0
REQ-000253,170.8,0.0653,2.64,3,12,94.3,0.0268,0
REQ-000254,57.1,0.0349,0.6,1,12,62.0,0.0054,0
REQ-000255,85.1,0.1465,1.37,2,13,130.2,0.0094,0
REQ-000256,104.7,0.056,3.6,1,21,164.5,0.0365,0
REQ-000257,106.4,0.1122,1.2,3,9,108.3,0.0151,0
REQ-000258,151.8,0.15,1.02,2,19,92.2,0.0314,0
REQ-000259,203.6,0.0586,0.97,2,7,101.7,0.0183,0
REQ-000260,69.0,0.0753,2.27,1,11,116.5,0.0691,0
REQ-000261,452.9,0.0461,1.83,2,22,114.3,0.0089,0
REQ-000262,195.8,0.062,0.1,3,19,104.3,0.0477,0
REQ-000263,391.6,0.0549,2.09,3,12,118.2,0.0088,0
REQ-000264,108.0,0.0353,1.95,1,21,80.8,0.0102,0
REQ-000265,134.5,0.0468,0.11,2,6,109.3,0.0074,0
REQ-000266,101.6,0.0277,0.79,2,16,106.4,0.0027,0
REQ-000267,258.5,0.0665,2.82,1,13,116.8,0.0151,0
REQ-000268,180.5,0.0211,0.84,2,21,152.3,0.0022,0
REQ-000269,104.6,0.0957,5.4,2,19,160.7,0.0056,0
REQ-000270,291.8,0.0261,0.17,2,7,131.6,0.0072,0
REQ-000271,230.1,0.0564,0.32,2,17,73.1,0.0087,0
REQ-000272,201.4,0.0493,1.71,2,22,61.2,0.02,0
REQ-000273,500.0,0.4516,17.26,33,16,118.3,0.4431,1
REQ-000274,185.0,0.0796,1.53,2,20,132.4,0.0044,0
REQ-000275,323.6,0.0538,3.51,2,12,52.3,0.0024,0
REQ-000276,132.5,0.0823,6.63,2,6,114.0,0.0087,0
REQ-000277,255.2,0.15,3.11,2,7,168.6,0.0054,0
REQ-000278,130.0,0.024,2.43,2,17,59.3,0.005,0
REQ-000279,4111.8,0.3551,22.97,19,12,100.0,0.5794,1
REQ-000280,50.0,0.0744,0.13,2,22,71.6,0.0007,0
REQ-000281,119.1,0.0408,2.48,2,14,89.4,0.0199,0
REQ-000282,277.8,0.0427,0.44,3,14,83.2,0.0045,0
REQ-000283,582.0,0.025,0.28,1,10,164.2,0.0577,0
REQ-000284,467.7,0.0509,0.24,1,11,128.3,0.0636,0
REQ-000285,160.1,0.0127,0.32,3,18,76.7,0.0048,0
REQ-000286,151.9,0.0847,2.12,3,16,62.7,0.0622,0
REQ-000287,247.8,0.0353,6.35,2,21,139.2,0.0068,0
REQ-000288,141.1,0.0421,3.24,2,18,204.4,0.003,0
REQ-000289,100.2,0.1063,6.4,3,11,73.3,0.016,0
REQ-000290,78.5,0.0478,2.69,3,15,139.3,0.0608,0
REQ-000291,147.3,0.0152,1.15,2,12,85.1,0.0055,0
REQ-000292,113.8,0.1128,1.04,2,22,70.0,0.0481,0
REQ-000293,194.2,0.0676,1.32,2,19,81.9,0.0373,0
REQ-000294,109.9,0.0277,1.98,1,21,70.1,0.0267,0
REQ-000295,173.1,0.0103,0.48,3,21,75.3,0.0226,0
REQ-000296,149.1,0.0094,0.57,2,10,77.8,0.0005,0
REQ-000297,214.6,0.0115,5.05,3,11,121.7,0.0141,0
REQ-000298,115.9,0.0142,1.14,2,17,80.3,0.0049,0
REQ-000299,182.0,0.0536,3.34,2,18,54.4,0.0732,0
REQ-000300,373.3,0.0364,1.99,1,19,84.3,0.0224,0
REQ-000301,203.2,0.0743,1.46,2,17,71.1,0.0101,0
REQ-000302,177.4,0.0383,0.49,1,11,66.6,0.0501,0
REQ-000303,221.9,0.0265,5.0,3,18,461.4,0.0356,0
REQ-000304,73.3,0.0171,4.04,1,9,89.1,0.0363,0
REQ-000305,96.0,0.0123,4.24,3,19,126.7,0.022,0
REQ-000306,58.9,0.0108,0.12,2,21,74.8,0.0624,0
REQ-000307,171.3,0.0808,2.18,2,8,59.4,0.0494,0
REQ-000308,276.9,0.0248,3.41,1,17,139.1,0.0019,0
REQ-000309,110.9,0.076,0.1,3,8,93.4,0.0099,0
REQ-000310,73.3,0.0416,1.78,2,13,69.1,0.0329,0
REQ-000311,348.7,0.0897,2.2,1,9,230.2,0.0023,0
REQ-000312,170.9,0.0426,0.76,3,10,77.7,0.0051,0
REQ-000313,336.4,0.0391,3.61,2,17,82.9,0.0213,0
REQ-000314,125.1,0.0371,1.92,1,13,106.2,0.0033,0
REQ-000315,132.8,0.052,2.64,2,14,82.4,0.0155,0
REQ-000316,50.0,0.15,2.6,3,11,115.6,0.0114,0
REQ-000317,217.3,0.0611,5.12,3,6,107.0,0.0177,0
REQ-000318,232.6,0.1348,1.69,1,18,74.3,0.0212,0
REQ-000319,339.2,0.0203,0.1,3,16,54.6,0.0192,0
REQ-000320,162.0,0.0884,5.07,1,11,49.3,0.0285,0
REQ-000321,106.0,0.0247,4.94,2,21,124.4,0.0139,0
REQ-000322,157.5,0.0279,0.48,2,20,85.4,0.1546,0
REQ-000323,214.4,0.0272,0.46,1,16,135.3,0.0255,0
REQ-000324,111.8,0.048,0.92,1,12,85.4,0.0476,0
REQ-000325,169.3,0.0726,0.22,1,19,60.5,0.0092,0
REQ-000326,458.8,0.0337,0.69,3,6,160.6,0.0932,0
REQ-000327,216.0,0.0357,2.72,2,19,116.5,0.0306,0
REQ-000328,168.4,0.0526,1.27,3,11,130.2,0.0128,0
REQ-000329,318.0,0.0532,5.37,3,15,98.2,0.0001,0
REQ-000330,231.7,0.1001,1.03,2,13,86.3,0.0391,0
REQ-000331,179.7,0.0449,3.68,1,9,107.4,0.0317,0
REQ-000332,273.9,0.0987,0.63,1,7,113.4,0.1197,0
REQ-000333,372.3,0.0992,1.04,1,13,91.3,0.0002,0
REQ-000334,72.9,0.1022,0.44,3,21,95.7,0.0011,0
REQ-000335,224.8,0.03,1.0,1,11,108.6,0.038,0
REQ-000336,146.3,0.15,0.83,3,20,42.6,0.0038,0
REQ-000337,50.3,0.0277,1.54,2,22,49.3,0.0194,0
REQ-000338,135.1,0.0236,1.05,3,20,45.7,0.0124,0
REQ-000339,135.0,0.0959,0.11,3,6,92.3,0.0032,0
REQ-000340,70.9,0.0797,0.79,1,6,116.6,0.0329,0
REQ-000341,253.9,0.0266,1.43,3,10,155.9,0.0023,0
REQ-000342,116.1,0.0342,5.64,2,15,61.4,0.0023,0
REQ-000343,262.1,0.0637,2.03,3,7,50.2,0.0272,0
REQ-000344,85.9,0.0378,0.92,2,13,99.6,0.0412,0
REQ-000345,151.1,0.0637,1.22,1,21,233.9,0.0036,0
REQ-000346,149.5,0.0289,0.84,3,20,77.3,0.0156,0
REQ-000347,99.7,0.0472,4.45,2,6,99.5,0.0141,0
REQ-000348,142.9,0.1045,4.11,3,17,109.5,0.0237,0
REQ-000349,362.9,0.0932,0.61,1,18,73.2,0.0038,0
REQ-000350,61.7,0.0173,1.27,1,8,113.3,0.0103,0
REQ-000351,197.9,0.0746,0.71,1,12,68.4,0.0312,0
REQ-000352,65.0,0.0644,2.21,2,8,191.5,0.039,0
REQ-000353,218.0,0.0554,0.1,1,21,308.7,0.0016,0
REQ-000354,201.5,0.0672,3.47,2,8,54.2,0.0403,0
REQ-000355,67.3,0.0494,2.41,2,19,151.4,0.0631,0
REQ-000356,633.1,0.0758,0.95,2,15,85.1,0.0247,0
REQ-000357,304.3,0.0358,2.35,1,9,116.9,0.0103,0
REQ-000358,151.9,0.1268,0.36,2,16,64.0,0.0127,0
REQ-000359,83.5,0.0591,0.76,3,18,96.7,0.0265,0
REQ-000360,132.5,0.0502,1.32,2,11,55.0,0.0063,0
REQ-000361,154.3,0.0325,3.94,1,6,96.9,0.0762,0
REQ-000362,128.8,0.0129,0.48,3,22,82.4,0.0121,0
REQ-000363,50.0,0.0553,1.4,2,11,116.8,0.1023,0
REQ-000364,270.4,0.0644,2.2,3,21,105.1,0.0055,0
REQ-000365,103.8,0.0341,0.67,2,11,234.1,0.0206,0
REQ-000366,186.2,0.0653,0.7,3,20,155.2,0.0204,0
REQ-000367,105.1,0.0517,2.63,3,19,114.4,0.0425,0
REQ-000368,227.5,0.0571,3.58,3,17,131.0,0.011,0
REQ-000369,183.9,0.0254,4.92,1,14,115.5,0.0042,0
REQ-000370,348.4,0.0405,2.49,1,16,68.1,0.0078,0
REQ-000371,120.5,0.0547,0.86,1,19,223.9,0.1008,0
REQ-000372,239.2,0.15,0.81,1,11,140.6,0.0153,0
REQ-000373,119.7,0.0907,5.53,1,21,123.9,0.015,0
REQ-000374,50.0,0.0283,0.1,3,14,113.8,0.0063,0
REQ-000375,97.8,0.096,0.83,3,20,139.6,0.0342,0
REQ-000376,250.8,0.1015,2.51,2,19,67.7,0.1082,0
REQ-000377,217.6,0.0624,0.1,1,22,87.0,0.0272,0
REQ-000378,357.7,0.046,0.42,2,9,61.2,0.0002,0
REQ-000379,222.7,0.1474,1.84,2,18,82.5,0.0169,0
REQ-000380,125.3,0.0591,6.59,2,21,91.0,0.0071,0
REQ-000381,228.5,0.0855,1.4,3,15,112.9,0.0125,0
REQ-000382,56.5,0.0446,1.82,3,8,66.3,0.0546,0
REQ-000383,112.4,0.0987,1.18,2,12,54.5,0.0079,0
REQ-000384,188.9,0.069,1.44,2,8,53.0,0.0288,0
REQ-000385,205.5,0.0749,1.46,3,22,87.3,0.0286,0
REQ-000386,81.8,0.0357,4.96,3,10,123.2,0.0074,0
REQ-000387,72.7,0.0752,1.16,2,6,65.5,0.0343,0
REQ-000388,196.5,0.0182,1.92,3,6,126.5,0.0888,0
REQ-000389,53.2,0.022,2.36,1,15,118.5,0.0455,0
REQ-000390,520.6,0.0074,5.55,1,21,229.7,0.001,0
REQ-000391,1872.0,0.5337,15.0,11,22,292.0,0.6915,1
REQ-000392,98.0,0.016,2.19,1,8,47.1,0.0097,0
REQ-000393,440.0,0.0943,3.29,1,12,67.2,0.0064,0
REQ-000394,84.4,0.0045,0.85,3,12,91.7,0.0042,0
REQ-000395,197.1,0.0222,2.36,1,20,74.0,0.0168,0
REQ-000396,176.6,0.0356,0.1,2,9,182.9,0.0373,0
REQ-000397,444.0,0.15,0.31,1,21,51.1,0.0081,0
REQ-000398,238.9,0.15,1.97,3,6,75.6,0.012,0
